epoch,stock,avg_loss,model_name,arch,n_qubits,n_qlayers,lr,lookback,batch_size,n_epoch,seed
1,NVDA,0.2033278952268037,QLSTM,3.2,4,3,0.030000,5,16,50,1
1,DIS,0.1593841862949458,QLSTM,3.2,4,3,0.030000,5,16,50,1
1,KO,0.02726859226822853,QLSTM,3.2,4,3,0.030000,5,16,50,1
1,MO,0.026127172041345726,QLSTM,3.2,4,3,0.030000,5,16,50,1
1,BABA,0.02551071642136032,QLSTM,3.2,4,3,0.030000,5,16,50,1
1,MA,0.0203809446062554,QLSTM,3.2,4,3,0.030000,5,16,50,1
1,V,0.02495913482694463,QLSTM,3.2,4,3,0.030000,5,16,50,1
1,JPM,0.010324621456675231,QLSTM,3.2,4,3,0.030000,5,16,50,1
1,PG,0.014272373952818189,QLSTM,3.2,4,3,0.030000,5,16,50,1
1,TSM,0.010207670825448904,QLSTM,3.2,4,3,0.030000,5,16,50,1
1,META,0.008560780060096558,QLSTM,3.2,4,3,0.030000,5,16,50,1
1,TSLA,0.01617563431235877,QLSTM,3.2,4,3,0.030000,5,16,50,1
1,MSFT,0.011100879002531821,QLSTM,3.2,4,3,0.030000,5,16,50,1
1,AAPL,0.017218749102374368,QLSTM,3.2,4,3,0.030000,5,16,50,1
1,ABBV,0.006119842873886228,QLSTM,3.2,4,3,0.030000,5,16,50,1
1,PEP,0.019273223524743862,QLSTM,3.2,4,3,0.030000,5,16,50,1
1,CRM,0.009702107805589383,QLSTM,3.2,4,3,0.030000,5,16,50,1
1,PFE,0.011315025749023665,QLSTM,3.2,4,3,0.030000,5,16,50,1
1,NFLX,0.007542014979249375,QLSTM,3.2,4,3,0.030000,5,16,50,1
1,AMD,0.016499901021068745,QLSTM,3.2,4,3,0.030000,5,16,50,1
1,ABT,0.008057103576985273,QLSTM,3.2,4,3,0.030000,5,16,50,1
1,PM,0.015398826746439392,QLSTM,3.2,4,3,0.030000,5,16,50,1
1,BA,0.01002849266991358,QLSTM,3.2,4,3,0.030000,5,16,50,1
1,NKE,0.00912651445039294,QLSTM,3.2,4,3,0.030000,5,16,50,1
1,GS,0.013110357146202163,QLSTM,3.2,4,3,0.030000,5,16,50,1
1,T,0.15131852735595946,QLSTM,3.2,4,3,0.030000,5,16,50,1
1,C,0.25803369520740077,QLSTM,3.2,4,3,0.030000,5,16,50,1
1,MU,0.194743667983196,QLSTM,3.2,4,3,0.030000,5,16,50,1
2,NVDA,0.12901873954317786,QLSTM,3.2,4,3,0.029420,5,16,50,1
2,DIS,0.2641976739872586,QLSTM,3.2,4,3,0.029420,5,16,50,1
2,KO,0.23598826879804785,QLSTM,3.2,4,3,0.029420,5,16,50,1
2,MO,0.17749120633710513,QLSTM,3.2,4,3,0.029420,5,16,50,1
2,BABA,0.11330981078473004,QLSTM,3.2,4,3,0.029420,5,16,50,1
2,MA,0.14605327594009312,QLSTM,3.2,4,3,0.029420,5,16,50,1
2,V,0.1695505529642105,QLSTM,3.2,4,3,0.029420,5,16,50,1
2,JPM,0.0973388526419347,QLSTM,3.2,4,3,0.029420,5,16,50,1
2,PG,0.1840436045419086,QLSTM,3.2,4,3,0.029420,5,16,50,1
2,TSM,0.06396353972906416,QLSTM,3.2,4,3,0.029420,5,16,50,1
2,META,0.12403563791039315,QLSTM,3.2,4,3,0.029420,5,16,50,1
2,TSLA,0.11602311361242425,QLSTM,3.2,4,3,0.029420,5,16,50,1
2,MSFT,0.08424094471741807,QLSTM,3.2,4,3,0.029420,5,16,50,1
2,AAPL,0.09372483363205736,QLSTM,3.2,4,3,0.029420,5,16,50,1
2,ABBV,0.05158003546636213,QLSTM,3.2,4,3,0.029420,5,16,50,1
2,PEP,0.08200660127807748,QLSTM,3.2,4,3,0.029420,5,16,50,1
2,CRM,0.029056796423074873,QLSTM,3.2,4,3,0.029420,5,16,50,1
2,PFE,0.02954897022044117,QLSTM,3.2,4,3,0.029420,5,16,50,1
2,NFLX,0.031833908118476924,QLSTM,3.2,4,3,0.029420,5,16,50,1
2,AMD,0.03479601938108152,QLSTM,3.2,4,3,0.029420,5,16,50,1
2,ABT,0.028171212412416935,QLSTM,3.2,4,3,0.029420,5,16,50,1
2,PM,0.03176820295100862,QLSTM,3.2,4,3,0.029420,5,16,50,1
2,BA,0.0364904169162566,QLSTM,3.2,4,3,0.029420,5,16,50,1
2,NKE,0.019605343611064283,QLSTM,3.2,4,3,0.029420,5,16,50,1
2,GS,0.033209157176315784,QLSTM,3.2,4,3,0.029420,5,16,50,1
2,T,0.04051254875957966,QLSTM,3.2,4,3,0.029420,5,16,50,1
2,C,0.03379609313031489,QLSTM,3.2,4,3,0.029420,5,16,50,1
2,MU,0.02661338821053505,QLSTM,3.2,4,3,0.029420,5,16,50,1
3,NVDA,0.02548982452770526,QLSTM,3.2,4,3,0.028840,5,16,50,1
3,DIS,0.024610620859841056,QLSTM,3.2,4,3,0.028840,5,16,50,1
3,KO,0.018517223991114985,QLSTM,3.2,4,3,0.028840,5,16,50,1
3,MO,0.016425485680387777,QLSTM,3.2,4,3,0.028840,5,16,50,1
3,BABA,0.027928554071960123,QLSTM,3.2,4,3,0.028840,5,16,50,1
3,MA,0.022665184414522213,QLSTM,3.2,4,3,0.028840,5,16,50,1
3,V,0.026404385751282625,QLSTM,3.2,4,3,0.028840,5,16,50,1
3,JPM,0.012595925871706144,QLSTM,3.2,4,3,0.028840,5,16,50,1
3,PG,0.016073775244876742,QLSTM,3.2,4,3,0.028840,5,16,50,1
3,TSM,0.010289641965011304,QLSTM,3.2,4,3,0.028840,5,16,50,1
3,META,0.00840743272353641,QLSTM,3.2,4,3,0.028840,5,16,50,1
3,TSLA,0.011151131496510723,QLSTM,3.2,4,3,0.028840,5,16,50,1
3,MSFT,0.011097617426209828,QLSTM,3.2,4,3,0.028840,5,16,50,1
3,AAPL,0.017888749526305633,QLSTM,3.2,4,3,0.028840,5,16,50,1
3,ABBV,0.00726124024103311,QLSTM,3.2,4,3,0.028840,5,16,50,1
3,PEP,0.021387895865535193,QLSTM,3.2,4,3,0.028840,5,16,50,1
3,CRM,0.008316753178157589,QLSTM,3.2,4,3,0.028840,5,16,50,1
3,PFE,0.010363217887722632,QLSTM,3.2,4,3,0.028840,5,16,50,1
