epoch,stock,avg_loss,model_name,arch,n_qubits,n_qlayers,lr,lookback,batch_size,n_epoch,seed
1,NVDA,0.19020892273296008,QLSTM,4.1,4,2,0.030000,5,16,50,2
1,DIS,0.1623136153952642,QLSTM,4.1,4,2,0.030000,5,16,50,2
1,KO,0.04264435438777913,QLSTM,4.1,4,2,0.030000,5,16,50,2
1,MO,0.03608251989565112,QLSTM,4.1,4,2,0.030000,5,16,50,2
1,BABA,0.041072267573326826,QLSTM,4.1,4,2,0.030000,5,16,50,2
1,MA,0.025286925279281357,QLSTM,4.1,4,2,0.030000,5,16,50,2
1,V,0.02788395146754655,QLSTM,4.1,4,2,0.030000,5,16,50,2
1,JPM,0.012545016382566908,QLSTM,4.1,4,2,0.030000,5,16,50,2
1,PG,0.02026094619015401,QLSTM,4.1,4,2,0.030000,5,16,50,2
1,TSM,0.01006665049036118,QLSTM,4.1,4,2,0.030000,5,16,50,2
1,META,0.01138733735900711,QLSTM,4.1,4,2,0.030000,5,16,50,2
1,TSLA,0.0493347534740513,QLSTM,4.1,4,2,0.030000,5,16,50,2
1,MSFT,0.0324040095067837,QLSTM,4.1,4,2,0.030000,5,16,50,2
1,AAPL,0.02960911744528196,QLSTM,4.1,4,2,0.030000,5,16,50,2
1,ABBV,0.008901020384986292,QLSTM,4.1,4,2,0.030000,5,16,50,2
1,PEP,0.0261147277937694,QLSTM,4.1,4,2,0.030000,5,16,50,2
1,CRM,0.009592742500403388,QLSTM,4.1,4,2,0.030000,5,16,50,2
1,PFE,0.012250661278482188,QLSTM,4.1,4,2,0.030000,5,16,50,2
1,NFLX,0.010020218599079684,QLSTM,4.1,4,2,0.030000,5,16,50,2
1,AMD,0.010238226587799463,QLSTM,4.1,4,2,0.030000,5,16,50,2
1,ABT,0.01050975097512657,QLSTM,4.1,4,2,0.030000,5,16,50,2
1,PM,0.014108181465417147,QLSTM,4.1,4,2,0.030000,5,16,50,2
1,BA,0.01035200739914382,QLSTM,4.1,4,2,0.030000,5,16,50,2
1,NKE,0.007793034892529249,QLSTM,4.1,4,2,0.030000,5,16,50,2
1,GS,0.011451216160573742,QLSTM,4.1,4,2,0.030000,5,16,50,2
1,T,0.007692796813154762,QLSTM,4.1,4,2,0.030000,5,16,50,2
1,C,0.008836390979757363,QLSTM,4.1,4,2,0.030000,5,16,50,2
1,MU,0.010921897324310108,QLSTM,4.1,4,2,0.030000,5,16,50,2
2,NVDA,0.006898668150163509,QLSTM,4.1,4,2,0.029420,5,16,50,2
2,DIS,0.006814727845432406,QLSTM,4.1,4,2,0.029420,5,16,50,2
2,KO,0.012560162672095677,QLSTM,4.1,4,2,0.029420,5,16,50,2
2,MO,0.01130695699248463,QLSTM,4.1,4,2,0.029420,5,16,50,2
2,BABA,0.015357189557769081,QLSTM,4.1,4,2,0.029420,5,16,50,2
2,MA,0.016474152110855688,QLSTM,4.1,4,2,0.029420,5,16,50,2
2,V,0.020033398325639693,QLSTM,4.1,4,2,0.029420,5,16,50,2
2,JPM,0.007734640268608928,QLSTM,4.1,4,2,0.029420,5,16,50,2
2,PG,0.01118735075843605,QLSTM,4.1,4,2,0.029420,5,16,50,2
2,TSM,0.005271301663015038,QLSTM,4.1,4,2,0.029420,5,16,50,2
2,META,0.005535926601045172,QLSTM,4.1,4,2,0.029420,5,16,50,2
2,TSLA,0.010115426266565919,QLSTM,4.1,4,2,0.029420,5,16,50,2
2,MSFT,0.010359430600973692,QLSTM,4.1,4,2,0.029420,5,16,50,2
2,AAPL,0.01456392306665128,QLSTM,4.1,4,2,0.029420,5,16,50,2
2,ABBV,0.006337354515298185,QLSTM,4.1,4,2,0.029420,5,16,50,2
2,PEP,0.01715590889480981,QLSTM,4.1,4,2,0.029420,5,16,50,2
2,CRM,0.006215568293224682,QLSTM,4.1,4,2,0.029420,5,16,50,2
2,PFE,0.008016281316734174,QLSTM,4.1,4,2,0.029420,5,16,50,2
2,NFLX,0.00549037704794583,QLSTM,4.1,4,2,0.029420,5,16,50,2
2,AMD,0.008598409646021371,QLSTM,4.1,4,2,0.029420,5,16,50,2
2,ABT,0.0075831081802872095,QLSTM,4.1,4,2,0.029420,5,16,50,2
2,PM,0.01210596058941023,QLSTM,4.1,4,2,0.029420,5,16,50,2
2,BA,0.010043303376402368,QLSTM,4.1,4,2,0.029420,5,16,50,2
2,NKE,0.00577448189935901,QLSTM,4.1,4,2,0.029420,5,16,50,2
2,GS,0.010672313415191391,QLSTM,4.1,4,2,0.029420,5,16,50,2
2,T,0.006645038798028095,QLSTM,4.1,4,2,0.029420,5,16,50,2
2,C,0.007990875821137293,QLSTM,4.1,4,2,0.029420,5,16,50,2
2,MU,0.00953543893146244,QLSTM,4.1,4,2,0.029420,5,16,50,2
3,NVDA,0.006437878325496885,QLSTM,4.1,4,2,0.028840,5,16,50,2
3,DIS,0.00683518085332418,QLSTM,4.1,4,2,0.028840,5,16,50,2
3,KO,0.012572207488119602,QLSTM,4.1,4,2,0.028840,5,16,50,2
3,MO,0.009328051914714953,QLSTM,4.1,4,2,0.028840,5,16,50,2
3,BABA,0.015888462986119768,QLSTM,4.1,4,2,0.028840,5,16,50,2
