epoch,stock,avg_loss,model_name,arch,n_qubits,n_qlayers,lr,lookback,batch_size,n_epoch,seed
1,NVDA,0.23404145477847618,QLSTM,3.3,8,2,0.030000,5,16,50,3
1,DIS,0.26161717691204767,QLSTM,3.3,8,2,0.030000,5,16,50,3
1,KO,0.08563496138561856,QLSTM,3.3,8,2,0.030000,5,16,50,3
1,MO,0.10696288503029129,QLSTM,3.3,8,2,0.030000,5,16,50,3
1,BABA,0.08223493972962553,QLSTM,3.3,8,2,0.030000,5,16,50,3
1,MA,0.046879953535443004,QLSTM,3.3,8,2,0.030000,5,16,50,3
1,V,0.039916716812347826,QLSTM,3.3,8,2,0.030000,5,16,50,3
1,JPM,0.023327703757042236,QLSTM,3.3,8,2,0.030000,5,16,50,3
1,PG,0.026454904794015667,QLSTM,3.3,8,2,0.030000,5,16,50,3
1,TSM,0.02091566138816151,QLSTM,3.3,8,2,0.030000,5,16,50,3
1,META,0.013733525569974021,QLSTM,3.3,8,2,0.030000,5,16,50,3
1,TSLA,0.02222293020564724,QLSTM,3.3,8,2,0.030000,5,16,50,3
1,MSFT,0.019031542840159753,QLSTM,3.3,8,2,0.030000,5,16,50,3
1,AAPL,0.018022612837905235,QLSTM,3.3,8,2,0.030000,5,16,50,3
1,ABBV,0.009094226311638275,QLSTM,3.3,8,2,0.030000,5,16,50,3
1,PEP,0.01964765484444797,QLSTM,3.3,8,2,0.030000,5,16,50,3
1,CRM,0.008415065599944104,QLSTM,3.3,8,2,0.030000,5,16,50,3
1,PFE,0.0133392736104063,QLSTM,3.3,8,2,0.030000,5,16,50,3
1,NFLX,0.005079023862807927,QLSTM,3.3,8,2,0.030000,5,16,50,3
1,AMD,0.008330286120657216,QLSTM,3.3,8,2,0.030000,5,16,50,3
1,ABT,0.008963342883031477,QLSTM,3.3,8,2,0.030000,5,16,50,3
1,PM,0.014072375160387972,QLSTM,3.3,8,2,0.030000,5,16,50,3
1,BA,0.00959617899603803,QLSTM,3.3,8,2,0.030000,5,16,50,3
1,NKE,0.005996058086483655,QLSTM,3.3,8,2,0.030000,5,16,50,3
1,GS,0.0111587072129954,QLSTM,3.3,8,2,0.030000,5,16,50,3
1,T,0.007571039499122311,QLSTM,3.3,8,2,0.030000,5,16,50,3
1,C,0.007353210472501814,QLSTM,3.3,8,2,0.030000,5,16,50,3
1,MU,0.012358931634067134,QLSTM,3.3,8,2,0.030000,5,16,50,3
2,NVDA,0.008268110729245976,QLSTM,3.3,8,2,0.029420,5,16,50,3
2,DIS,0.009291130012239922,QLSTM,3.3,8,2,0.029420,5,16,50,3
2,KO,0.012874988394535401,QLSTM,3.3,8,2,0.029420,5,16,50,3
2,MO,0.009841367020271719,QLSTM,3.3,8,2,0.029420,5,16,50,3
2,BABA,0.014765957349234006,QLSTM,3.3,8,2,0.029420,5,16,50,3
2,MA,0.015761924007992176,QLSTM,3.3,8,2,0.029420,5,16,50,3
2,V,0.019245349505746908,QLSTM,3.3,8,2,0.029420,5,16,50,3
2,JPM,0.007567311287857592,QLSTM,3.3,8,2,0.029420,5,16,50,3
2,PG,0.012884104179895738,QLSTM,3.3,8,2,0.029420,5,16,50,3
2,TSM,0.005466539994813502,QLSTM,3.3,8,2,0.029420,5,16,50,3
2,META,0.004520211098927327,QLSTM,3.3,8,2,0.029420,5,16,50,3
2,TSLA,0.009494728366421028,QLSTM,3.3,8,2,0.029420,5,16,50,3
2,MSFT,0.009127638281577012,QLSTM,3.3,8,2,0.029420,5,16,50,3
2,AAPL,0.014274283777922392,QLSTM,3.3,8,2,0.029420,5,16,50,3
