epoch,stock,avg_loss,model_name,arch,n_qubits,n_qlayers,lr,lookback,batch_size,n_epoch,seed
1,NVDA,0.21508491411805153,QLSTM,3.1,4,2,0.030000,5,16,50,1
1,DIS,0.146434139798988,QLSTM,3.1,4,2,0.030000,5,16,50,1
1,KO,0.04749182510105046,QLSTM,3.1,4,2,0.030000,5,16,50,1
1,MO,0.023898040621795437,QLSTM,3.1,4,2,0.030000,5,16,50,1
1,BABA,0.017860938498581,QLSTM,3.1,4,2,0.030000,5,16,50,1
1,MA,0.01725341286510229,QLSTM,3.1,4,2,0.030000,5,16,50,1
1,V,0.023088908500292084,QLSTM,3.1,4,2,0.030000,5,16,50,1
1,JPM,0.010873921734111553,QLSTM,3.1,4,2,0.030000,5,16,50,1
1,PG,0.015026877253231678,QLSTM,3.1,4,2,0.030000,5,16,50,1
1,TSM,0.006997613500888375,QLSTM,3.1,4,2,0.030000,5,16,50,1
1,META,0.008598423753441735,QLSTM,3.1,4,2,0.030000,5,16,50,1
1,TSLA,0.012366407021710818,QLSTM,3.1,4,2,0.030000,5,16,50,1
1,MSFT,0.011675376741384918,QLSTM,3.1,4,2,0.030000,5,16,50,1
1,AAPL,0.01635531293736263,QLSTM,3.1,4,2,0.030000,5,16,50,1
1,ABBV,0.006768981481648304,QLSTM,3.1,4,2,0.030000,5,16,50,1
1,PEP,0.019325341013344852,QLSTM,3.1,4,2,0.030000,5,16,50,1
1,CRM,0.008184024196287448,QLSTM,3.1,4,2,0.030000,5,16,50,1
1,PFE,0.008011692605743354,QLSTM,3.1,4,2,0.030000,5,16,50,1
1,NFLX,0.005601453216513619,QLSTM,3.1,4,2,0.030000,5,16,50,1
1,AMD,0.00716597198466347,QLSTM,3.1,4,2,0.030000,5,16,50,1
1,ABT,0.007649125425483693,QLSTM,3.1,4,2,0.030000,5,16,50,1
1,PM,0.012341219296848232,QLSTM,3.1,4,2,0.030000,5,16,50,1
1,BA,0.009343818539160897,QLSTM,3.1,4,2,0.030000,5,16,50,1
1,NKE,0.027894065419042654,QLSTM,3.1,4,2,0.030000,5,16,50,1
1,GS,0.01316220114346255,QLSTM,3.1,4,2,0.030000,5,16,50,1
1,T,0.015977833621119233,QLSTM,3.1,4,2,0.030000,5,16,50,1
1,C,0.011593463333238933,QLSTM,3.1,4,2,0.030000,5,16,50,1
1,MU,0.01297892215238376,QLSTM,3.1,4,2,0.030000,5,16,50,1
2,NVDA,0.0063594156685708595,QLSTM,3.1,4,2,0.029420,5,16,50,1
2,DIS,0.008395477473227815,QLSTM,3.1,4,2,0.029420,5,16,50,1
2,KO,0.0129790746987882,QLSTM,3.1,4,2,0.029420,5,16,50,1
2,MO,0.009802106238732284,QLSTM,3.1,4,2,0.029420,5,16,50,1
2,BABA,0.016500412422994323,QLSTM,3.1,4,2,0.029420,5,16,50,1
2,MA,0.01464123145507818,QLSTM,3.1,4,2,0.029420,5,16,50,1
2,V,0.020443692761050028,QLSTM,3.1,4,2,0.029420,5,16,50,1
2,JPM,0.007819067348133434,QLSTM,3.1,4,2,0.029420,5,16,50,1
2,PG,0.011622496182098985,QLSTM,3.1,4,2,0.029420,5,16,50,1
2,TSM,0.005015448561276902,QLSTM,3.1,4,2,0.029420,5,16,50,1
2,META,0.006085200944322754,QLSTM,3.1,4,2,0.029420,5,16,50,1
2,TSLA,0.009615874259245837,QLSTM,3.1,4,2,0.029420,5,16,50,1
2,MSFT,0.009689215263775126,QLSTM,3.1,4,2,0.029420,5,16,50,1
2,AAPL,0.01458805850283666,QLSTM,3.1,4,2,0.029420,5,16,50,1
2,ABBV,0.006929921631870622,QLSTM,3.1,4,2,0.029420,5,16,50,1
2,PEP,0.019636952635747464,QLSTM,3.1,4,2,0.029420,5,16,50,1
2,CRM,0.009021934206512842,QLSTM,3.1,4,2,0.029420,5,16,50,1
2,PFE,0.008816009175709703,QLSTM,3.1,4,2,0.029420,5,16,50,1
2,NFLX,0.004675098710735751,QLSTM,3.1,4,2,0.029420,5,16,50,1
2,AMD,0.006488967348228802,QLSTM,3.1,4,2,0.029420,5,16,50,1
2,ABT,0.007875832718458365,QLSTM,3.1,4,2,0.029420,5,16,50,1
2,PM,0.012678539401597598,QLSTM,3.1,4,2,0.029420,5,16,50,1
2,BA,0.008127965625714172,QLSTM,3.1,4,2,0.029420,5,16,50,1
2,NKE,0.0056235732785849405,QLSTM,3.1,4,2,0.029420,5,16,50,1
2,GS,0.010876148304140026,QLSTM,3.1,4,2,0.029420,5,16,50,1
2,T,0.0056847234531729055,QLSTM,3.1,4,2,0.029420,5,16,50,1
2,C,0.0071619490203870964,QLSTM,3.1,4,2,0.029420,5,16,50,1
2,MU,0.009197892832823774,QLSTM,3.1,4,2,0.029420,5,16,50,1
3,NVDA,0.005981419002637267,QLSTM,3.1,4,2,0.028840,5,16,50,1
3,DIS,0.006538512354547327,QLSTM,3.1,4,2,0.028840,5,16,50,1
3,KO,0.011913978431204503,QLSTM,3.1,4,2,0.028840,5,16,50,1
3,MO,0.01027688360773027,QLSTM,3.1,4,2,0.028840,5,16,50,1
3,BABA,0.014457127291031859,QLSTM,3.1,4,2,0.028840,5,16,50,1
3,MA,0.014423260719261387,QLSTM,3.1,4,2,0.028840,5,16,50,1
3,V,0.019016977907581764,QLSTM,3.1,4,2,0.028840,5,16,50,1
3,JPM,0.007947909857400438,QLSTM,3.1,4,2,0.028840,5,16,50,1
3,PG,0.010666869051585143,QLSTM,3.1,4,2,0.028840,5,16,50,1
3,TSM,0.005907517540353266,QLSTM,3.1,4,2,0.028840,5,16,50,1
3,META,0.006885914809324525,QLSTM,3.1,4,2,0.028840,5,16,50,1
3,TSLA,0.009823271994140337,QLSTM,3.1,4,2,0.028840,5,16,50,1
3,MSFT,0.009798927211456677,QLSTM,3.1,4,2,0.028840,5,16,50,1
3,AAPL,0.014073688155886803,QLSTM,3.1,4,2,0.028840,5,16,50,1
3,ABBV,0.0054346446148966525,QLSTM,3.1,4,2,0.028840,5,16,50,1
3,PEP,0.017695016629824586,QLSTM,3.1,4,2,0.028840,5,16,50,1
3,CRM,0.05215638755312697,QLSTM,3.1,4,2,0.028840,5,16,50,1
3,PFE,0.014393441273238172,QLSTM,3.1,4,2,0.028840,5,16,50,1
3,NFLX,0.009435883500951935,QLSTM,3.1,4,2,0.028840,5,16,50,1
3,AMD,0.007916707926514473,QLSTM,3.1,4,2,0.028840,5,16,50,1
3,ABT,0.008312889766371385,QLSTM,3.1,4,2,0.028840,5,16,50,1
3,PM,0.01185680759689686,QLSTM,3.1,4,2,0.028840,5,16,50,1
3,BA,0.011171847920526157,QLSTM,3.1,4,2,0.028840,5,16,50,1
3,NKE,0.007179250400936739,QLSTM,3.1,4,2,0.028840,5,16,50,1
3,GS,0.013833613727580418,QLSTM,3.1,4,2,0.028840,5,16,50,1
3,T,0.006956552557477897,QLSTM,3.1,4,2,0.028840,5,16,50,1
3,C,0.00901139581533657,QLSTM,3.1,4,2,0.028840,5,16,50,1
3,MU,0.008852136321365833,QLSTM,3.1,4,2,0.028840,5,16,50,1
4,NVDA,0.005918097481216219,QLSTM,3.1,4,2,0.028260,5,16,50,1
4,DIS,0.006542085363021629,QLSTM,3.1,4,2,0.028260,5,16,50,1
4,KO,0.013179994145916267,QLSTM,3.1,4,2,0.028260,5,16,50,1
4,MO,0.009256211628036743,QLSTM,3.1,4,2,0.028260,5,16,50,1
4,BABA,0.015198370547626506,QLSTM,3.1,4,2,0.028260,5,16,50,1
4,MA,0.014385811497711322,QLSTM,3.1,4,2,0.028260,5,16,50,1
4,V,0.018401688409291884,QLSTM,3.1,4,2,0.028260,5,16,50,1
4,JPM,0.007451324734244157,QLSTM,3.1,4,2,0.028260,5,16,50,1
4,PG,0.01071523553268476,QLSTM,3.1,4,2,0.028260,5,16,50,1
4,TSM,0.004839099128730595,QLSTM,3.1,4,2,0.028260,5,16,50,1
4,META,0.004959920151370831,QLSTM,3.1,4,2,0.028260,5,16,50,1
4,TSLA,0.008925015953454104,QLSTM,3.1,4,2,0.028260,5,16,50,1
4,MSFT,0.008571894871155646,QLSTM,3.1,4,2,0.028260,5,16,50,1
4,AAPL,0.013197988546876744,QLSTM,3.1,4,2,0.028260,5,16,50,1
4,ABBV,0.005473512150770562,QLSTM,3.1,4,2,0.028260,5,16,50,1
4,PEP,0.016616526059806347,QLSTM,3.1,4,2,0.028260,5,16,50,1
4,CRM,0.004851997295521538,QLSTM,3.1,4,2,0.028260,5,16,50,1
4,PFE,0.008445549121295864,QLSTM,3.1,4,2,0.028260,5,16,50,1
4,NFLX,0.003715081106003543,QLSTM,3.1,4,2,0.028260,5,16,50,1
4,AMD,0.005789989647878842,QLSTM,3.1,4,2,0.028260,5,16,50,1
4,ABT,0.007515493833290582,QLSTM,3.1,4,2,0.028260,5,16,50,1
4,PM,0.011148470729081468,QLSTM,3.1,4,2,0.028260,5,16,50,1
4,BA,0.008540038474496792,QLSTM,3.1,4,2,0.028260,5,16,50,1
4,NKE,0.004604439478663897,QLSTM,3.1,4,2,0.028260,5,16,50,1
4,GS,0.010471092410046946,QLSTM,3.1,4,2,0.028260,5,16,50,1
4,T,0.006363756716547703,QLSTM,3.1,4,2,0.028260,5,16,50,1
4,C,0.007279607044024901,QLSTM,3.1,4,2,0.028260,5,16,50,1
4,MU,0.007786049274727702,QLSTM,3.1,4,2,0.028260,5,16,50,1
5,NVDA,0.005212325793267651,QLSTM,3.1,4,2,0.027680,5,16,50,1
5,DIS,0.006213174349713055,QLSTM,3.1,4,2,0.027680,5,16,50,1
5,KO,0.011303082732907073,QLSTM,3.1,4,2,0.027680,5,16,50,1
5,MO,0.009245902268131349,QLSTM,3.1,4,2,0.027680,5,16,50,1
