epoch,stock,avg_loss,model_name,arch,n_qubits,n_qlayers,lr,lookback,batch_size,n_epoch,seed
1,NVDA,0.205876771021973,QLSTM,1.2,4,3,0.030000,5,16,50,3
1,DIS,0.0962391910566525,QLSTM,1.2,4,3,0.030000,5,16,50,3
1,KO,0.026840980799699373,QLSTM,1.2,4,3,0.030000,5,16,50,3
1,MO,0.019047870321876624,QLSTM,1.2,4,3,0.030000,5,16,50,3
1,BABA,0.030721511945805767,QLSTM,1.2,4,3,0.030000,5,16,50,3
1,MA,0.01854226791130548,QLSTM,1.2,4,3,0.030000,5,16,50,3
1,V,0.02513986724344167,QLSTM,1.2,4,3,0.030000,5,16,50,3
1,JPM,0.012659043941477483,QLSTM,1.2,4,3,0.030000,5,16,50,3
1,PG,0.017012668011540718,QLSTM,1.2,4,3,0.030000,5,16,50,3
1,TSM,0.00796885528093712,QLSTM,1.2,4,3,0.030000,5,16,50,3
1,META,0.00955023272597993,QLSTM,1.2,4,3,0.030000,5,16,50,3
1,TSLA,0.017580140763047068,QLSTM,1.2,4,3,0.030000,5,16,50,3
1,MSFT,0.012887122596360066,QLSTM,1.2,4,3,0.030000,5,16,50,3
1,AAPL,0.0155541541012512,QLSTM,1.2,4,3,0.030000,5,16,50,3
1,ABBV,0.006201945515137843,QLSTM,1.2,4,3,0.030000,5,16,50,3
1,PEP,0.017602851953018795,QLSTM,1.2,4,3,0.030000,5,16,50,3
1,CRM,0.006620604968206449,QLSTM,1.2,4,3,0.030000,5,16,50,3
1,PFE,0.008370970058339562,QLSTM,1.2,4,3,0.030000,5,16,50,3
1,NFLX,0.00599997668442401,QLSTM,1.2,4,3,0.030000,5,16,50,3
1,AMD,0.006302036704834212,QLSTM,1.2,4,3,0.030000,5,16,50,3
1,ABT,0.007371958440423689,QLSTM,1.2,4,3,0.030000,5,16,50,3
1,PM,0.01190359920093959,QLSTM,1.2,4,3,0.030000,5,16,50,3
1,BA,0.008136377479373054,QLSTM,1.2,4,3,0.030000,5,16,50,3
1,NKE,0.005653591265647926,QLSTM,1.2,4,3,0.030000,5,16,50,3
1,GS,0.009680286092175678,QLSTM,1.2,4,3,0.030000,5,16,50,3
1,T,0.0055314175763421436,QLSTM,1.2,4,3,0.030000,5,16,50,3
1,C,0.006814659959424965,QLSTM,1.2,4,3,0.030000,5,16,50,3
1,MU,0.008233941911550408,QLSTM,1.2,4,3,0.030000,5,16,50,3
2,NVDA,0.005711760610045696,QLSTM,1.2,4,3,0.029420,5,16,50,3
2,DIS,0.006586585902947594,QLSTM,1.2,4,3,0.029420,5,16,50,3
2,KO,0.011729894100095738,QLSTM,1.2,4,3,0.029420,5,16,50,3
2,MO,0.00878613227343356,QLSTM,1.2,4,3,0.029420,5,16,50,3
2,BABA,0.015426870879971168,QLSTM,1.2,4,3,0.029420,5,16,50,3
2,MA,0.014197544618086382,QLSTM,1.2,4,3,0.029420,5,16,50,3
2,V,0.017803382890468292,QLSTM,1.2,4,3,0.029420,5,16,50,3
2,JPM,0.006682288875295358,QLSTM,1.2,4,3,0.029420,5,16,50,3
2,PG,0.01625469873066653,QLSTM,1.2,4,3,0.029420,5,16,50,3
2,TSM,0.005229325636967339,QLSTM,1.2,4,3,0.029420,5,16,50,3
2,META,0.005030083581170236,QLSTM,1.2,4,3,0.029420,5,16,50,3
2,TSLA,0.009213080873120238,QLSTM,1.2,4,3,0.029420,5,16,50,3
2,MSFT,0.00963682130995122,QLSTM,1.2,4,3,0.029420,5,16,50,3
2,AAPL,0.014001782052218914,QLSTM,1.2,4,3,0.029420,5,16,50,3
2,ABBV,0.006078772744248537,QLSTM,1.2,4,3,0.029420,5,16,50,3
2,PEP,0.016974735539406538,QLSTM,1.2,4,3,0.029420,5,16,50,3
2,CRM,0.005489278002642095,QLSTM,1.2,4,3,0.029420,5,16,50,3
2,PFE,0.007565678107890893,QLSTM,1.2,4,3,0.029420,5,16,50,3
2,NFLX,0.003666195685086264,QLSTM,1.2,4,3,0.029420,5,16,50,3
2,AMD,0.005349090015939014,QLSTM,1.2,4,3,0.029420,5,16,50,3
2,ABT,0.007077971737916497,QLSTM,1.2,4,3,0.029420,5,16,50,3
2,PM,0.011311857114461336,QLSTM,1.2,4,3,0.029420,5,16,50,3
2,BA,0.0075539801036939025,QLSTM,1.2,4,3,0.029420,5,16,50,3
2,NKE,0.004580971858972175,QLSTM,1.2,4,3,0.029420,5,16,50,3
2,GS,0.009834000438621099,QLSTM,1.2,4,3,0.029420,5,16,50,3
2,T,0.0059657897482710805,QLSTM,1.2,4,3,0.029420,5,16,50,3
2,C,0.006570911183106628,QLSTM,1.2,4,3,0.029420,5,16,50,3
2,MU,0.0077389821050349965,QLSTM,1.2,4,3,0.029420,5,16,50,3
3,NVDA,0.005431019330651246,QLSTM,1.2,4,3,0.028840,5,16,50,3
3,DIS,0.005447746868329969,QLSTM,1.2,4,3,0.028840,5,16,50,3
3,KO,0.011667557261799548,QLSTM,1.2,4,3,0.028840,5,16,50,3
3,MO,0.008867910904386505,QLSTM,1.2,4,3,0.028840,5,16,50,3
3,BABA,0.014862791656262496,QLSTM,1.2,4,3,0.028840,5,16,50,3
3,MA,0.014190923274410043,QLSTM,1.2,4,3,0.028840,5,16,50,3
3,V,0.018555141223425217,QLSTM,1.2,4,3,0.028840,5,16,50,3
3,JPM,0.0061993989246812735,QLSTM,1.2,4,3,0.028840,5,16,50,3
3,PG,0.010026092175394297,QLSTM,1.2,4,3,0.028840,5,16,50,3
3,TSM,0.003928821909622374,QLSTM,1.2,4,3,0.028840,5,16,50,3
3,META,0.004325990324353122,QLSTM,1.2,4,3,0.028840,5,16,50,3
3,TSLA,0.03271036171777682,QLSTM,1.2,4,3,0.028840,5,16,50,3
3,MSFT,0.011115963697772135,QLSTM,1.2,4,3,0.028840,5,16,50,3
3,AAPL,0.014614282726225529,QLSTM,1.2,4,3,0.028840,5,16,50,3
3,ABBV,0.006362684568474916,QLSTM,1.2,4,3,0.028840,5,16,50,3
3,PEP,0.02157006006349217,QLSTM,1.2,4,3,0.028840,5,16,50,3
3,CRM,0.005132512623359534,QLSTM,1.2,4,3,0.028840,5,16,50,3
3,PFE,0.006832013816826723,QLSTM,1.2,4,3,0.028840,5,16,50,3
3,NFLX,0.005006010533014143,QLSTM,1.2,4,3,0.028840,5,16,50,3
3,AMD,0.005577808351848613,QLSTM,1.2,4,3,0.028840,5,16,50,3
3,ABT,0.00733328604308719,QLSTM,1.2,4,3,0.028840,5,16,50,3
3,PM,0.011474474777721545,QLSTM,1.2,4,3,0.028840,5,16,50,3
3,BA,0.007573210835372182,QLSTM,1.2,4,3,0.028840,5,16,50,3
3,NKE,0.004933331669731574,QLSTM,1.2,4,3,0.028840,5,16,50,3
3,GS,0.0099181473382156,QLSTM,1.2,4,3,0.028840,5,16,50,3
