Time,operatingCashflow
2009-06-30,75302000
2009-09-30,78311000
2009-12-31,105817000
2010-03-31,77205000
2010-06-30,60252000
2010-09-30,42227000
2010-12-31,96717000
2011-03-31,116323000
2011-06-30,86392000
2011-09-30,49531000
2011-12-31,65466000
2012-03-31,19109000
2012-06-30,19407000
2012-09-30,-2925000
2012-12-31,-14005000
2013-03-31,-12250000
2013-06-30,33943000
2013-09-30,34693000
2013-12-31,41445000
2014-03-31,36359000
2014-06-30,56024000
2014-09-30,-37439000
2014-12-31,-38461000
2015-03-31,-127382000
2015-06-30,-181343000
2015-09-30,-195969000
2015-12-31,-244745000
2016-03-31,-228590000
2016-06-30,-226293000
2016-09-30,-461941000
2016-12-31,-557160000
2017-03-31,-343856000
2017-06-30,-534528000
2017-09-30,-419607000
2017-12-31,-487957000
2018-03-31,-236757000
2018-06-30,-518239000
2018-09-30,-690411000
2018-12-31,-1235072000
2019-03-31,-379799000
2019-06-30,-543754000
2019-09-30,-501794000
2019-12-31,-1461975000
2020-03-31,259912000
2020-06-30,1041076000
2020-09-30,1263761000
2020-12-31,-137672000
2021-03-31,777266000
2021-06-30,-63761000
2021-09-30,82379000
2021-12-31,-403274000
2022-03-31,922839000
2022-06-30,102750000
2022-09-30,556810000
2022-12-31,443858000
2023-03-31,2178740000
2023-06-30,1440232000
2023-09-30,1992315000
2023-12-31,1663014000
