Time,operatingCashflow
2008-03-31,1305151000
2008-06-30,1758475000
2008-09-30,2698411000
2008-12-31,1582154000
2009-03-31,698718000
2009-06-30,1713801000
2009-09-30,3030024000
2009-12-31,1538700000
2010-03-31,1522752000
2010-06-30,2348297000
2010-09-30,2548413000
2010-12-31,1440800000
2011-03-31,2011146000
2011-06-30,2503152000
2011-09-30,422502000
2011-12-31,1401272000
2012-03-31,2224930000
2012-06-30,2066829000
2012-09-30,3519502000
2012-12-31,1502739000
2013-03-31,460000000
2013-06-30,717000000
2013-09-30,522000000
2013-12-31,1625000000
2014-03-31,336000000
2014-06-30,900000000
2014-09-30,1201000000
2014-12-31,1238000000
2015-03-31,2000000
2015-06-30,941000000
2015-09-30,1195000000
2015-12-31,828000000
2016-03-31,-93000000
2016-06-30,909000000
2016-09-30,1217000000
2016-12-31,1170000000
2017-03-31,574000000
2017-06-30,1351000000
2017-09-30,2005000000
2017-12-31,1640000000
2018-03-31,1108000000
2018-06-30,1244000000
2018-09-30,2183000000
2018-12-31,1765000000
2019-03-31,712000000
2019-06-30,1060000000
2019-09-30,1948000000
2019-12-31,2416000000
2020-03-31,715000000
2020-06-30,1322000000
2020-09-30,2066000000
2020-12-31,3798000000
2021-03-31,2637000000
2021-06-30,2128000000
2021-09-30,2701000000
2021-12-31,3067000000
2022-03-31,2065000000
2022-06-30,2410000000
2022-09-30,2780000000
2022-12-31,2326000000
2023-03-31,1143000000
2023-06-30,1203000000
2023-09-30,1877000000
