Time,totalAssets,longTermDebt
2009-06-30,32624000000,46000000
2009-09-30,32281000000,56000000
2009-12-31,31715000000,41000000
2010-03-31,32068000000,38000000
2010-06-30,32696000000,35000000
2010-09-30,33408000000,44000000
2010-12-31,33989000000,29000000
2011-03-31,34422000000,25000000
2011-06-30,34447000000,22000000
2011-09-30,34760000000,None
2011-12-31,35768000000,None
2012-03-31,36846000000,None
2012-06-30,38741000000,None
2012-09-30,40013000000,None
2012-12-31,35859000000,None
2013-03-31,35059000000,None
2013-06-30,35285000000,None
2013-09-30,35956000000,None
2013-12-31,36248000000,None
2014-03-31,37263000000,None
2014-06-30,37675000000,None
2014-09-30,38569000000,None
2014-12-31,38884000000,None
2015-03-31,38835000000,None
2015-06-30,39429000000,None
2015-09-30,39367000000,0
2015-12-31,54977000000,15877000000
2016-03-31,54326000000,15876000000
2016-06-30,63867000000,15879000000
2016-09-30,64035000000,15882000000
2016-12-31,63370000000,14138000000
2017-03-31,63227000000,14140000000
2017-06-30,64000000000,14142000000
2017-09-30,67977000000,16618000000
2017-12-31,67154000000,16621000000
2018-03-31,69042000000,16624000000
2018-06-30,68175000000,16627000000
2018-09-30,69225000000,16630000000
2018-12-31,71655000000,16633000000
2019-03-31,69865000000,16630000000
2019-06-30,70249000000,16639000000
2019-09-30,72574000000,16729000000
2019-12-31,74781000000,13688000000
2020-03-31,72820000000,17892000000
2020-06-30,77884000000,20879000000
2020-09-30,80919000000,24070000000
2020-12-31,80426000000,21055000000
2021-03-31,80195000000,20974000000
2021-06-30,82671000000,20996000000
2021-09-30,82896000000,20977000000
2021-12-31,81929000000,20920000000
2022-03-31,81808000000,17479000000
2022-06-30,85410000000,20546000000
2022-09-30,85501000000,45717000000
2022-12-31,85387000000,20487000000
2023-03-31,86755000000,20606000000
2023-06-30,89234000000,20560000000
2023-09-30,90499000000,41713000000
2023-12-31,91409000000,20703000000
