Time,operatingCashflow
2008-09-06,None
2008-12-31,2341000000
2009-03-21,-266000000
2009-06-13,1758000000
2009-09-05,2911000000
2009-12-31,2393000000
2010-03-20,241000000
2010-06-12,2201000000
2010-09-04,3346000000
2010-12-31,2660000000
2011-03-19,380000000
2011-06-11,1973000000
2011-09-03,3481000000
2011-12-31,3110000000
2012-03-31,-690000000
2012-06-16,1937000000
2012-09-08,3871000000
2012-12-31,3361000000
2013-03-23,702000000
2013-06-15,2313000000
2013-09-07,3647000000
2013-12-31,3026000000
2014-03-22,181000000
2014-06-14,2491000000
2014-09-06,4021000000
2014-12-31,3813000000
2015-03-21,270000000
2015-06-13,2491000000
2015-09-05,4014000000
2015-12-31,4089000000
2016-03-19,305000000
2016-06-11,2802000000
2016-09-03,3717000000
2016-12-31,3839000000
2017-03-31,-193000000
2017-06-17,2444000000
2017-09-09,3836000000
2017-12-31,3943000000
2018-03-31,-1309000000
2018-06-16,2396000000
2018-09-08,3645000000
2018-12-31,4683000000
2019-03-23,-345000000
2019-06-15,1733000000
2019-09-07,3675000000
2019-12-31,4586000000
2020-03-21,-749000000
2020-06-13,2211000000
2020-09-05,4661000000
2020-12-31,4490000000
2021-03-20,-719000000
2021-06-12,3059000000
2021-09-04,4294000000
2021-12-31,4982000000
2022-03-19,-174000000
2022-06-11,2055000000
2022-09-03,4425000000
2022-12-31,4505000000
2023-03-31,-392000000
2023-06-17,2411000000
2023-09-09,5611000000
