Time,totalAssets,longTermDebt
2009-06-30,2026642000000,20945000000
2009-09-30,2041009000000,17859000000
2009-12-31,2119673000000,266318000000
2010-03-31,2135796000000,262857000000
2010-06-30,2014019000000,248618000000
2010-09-30,2141595000000,255589000000
2010-12-31,2117605000000,270653000000
2011-03-31,2198161000000,269616000000
2011-06-30,2246764000000,279228000000
2011-09-30,2289240000000,273688000000
2011-12-31,2265792000000,256775000000
2012-03-31,2320164000000,255831000000
2012-06-30,2290146000000,239539000000
2012-09-30,2321284000000,241140000000
2012-12-31,2359141000000,249024000000
2013-03-31,2389349000000,268361000000
2013-06-30,2439494000000,266212000000
2013-09-30,2463309000000,263372000000
2013-12-31,2414879000000,267889000000
2014-03-31,2476650000000,274512000000
2014-06-30,2519995000000,269929000000
2014-09-30,2526655000000,190820000000
2014-12-31,2572274000000,205177000000
2015-03-31,2576619000000,209364000000
2015-06-30,2449098000000,189424000000
2015-09-30,2416635000000,190207000000
2015-12-31,2351698000000,168776000000
2016-03-31,2423808000000,185955000000
2016-06-30,2466096000000,199185000000
2016-09-30,2521029000000,185502000000
2016-12-31,2490972000000,175706000000
2017-03-31,2546290000000,172170000000
2017-06-30,2563174000000,164321000000
2017-09-30,2563074000000,156959000000
2017-12-31,2533600000000,149744000000
2018-03-31,2609785000000,158121000000
2018-06-30,2590050000000,171161000000
2018-09-30,2615183000000,171391000000
2018-12-31,2622532000000,165014000000
2019-03-31,2737188000000,182862000000
2019-06-30,2727379000000,173224000000
2019-09-30,2764661000000,156858000000
2019-12-31,2686477000000,137118000000
2020-03-31,3138530000000,203826000000
2020-06-30,3212643000000,186040000000
2020-09-30,3245061000000,181684000000
2020-12-31,3384757000000,187759000000
2021-03-31,3689336000000,279427000000
2021-06-30,3684256000000,427748000000
2021-09-30,3757576000000,298465000000
2021-12-31,3743567000000,301001000000
2022-03-31,3954687000000,293239000000
2022-06-30,3841314000000,426103000000
2022-09-30,3773884000000,201957000000
2022-12-31,3665743000000,295899000000
2023-03-31,3744305000000,440642000000
2023-06-30,3868240000000,364111000000
2023-09-30,3898333000000,362800000000
