Time,operatingCashflow
2009-03-31,193000000
2009-06-30,1001000000
2009-09-30,1197000000
2009-12-31,3212000000
2010-03-31,-285000000
2010-06-30,266000000
2010-09-30,1855000000
2010-12-31,1116000000
2011-03-31,-953000000
2011-06-30,1596000000
2011-09-30,449000000
2011-12-31,2931000000
2012-03-31,837000000
2012-06-30,908000000
2012-09-30,1596000000
2012-12-31,4167000000
2013-03-31,524000000
2013-06-30,3467000000
2013-09-30,2808000000
2013-12-31,1380000000
2014-03-31,1112000000
2014-06-30,1809000000
2014-09-30,939000000
2014-12-31,4998000000
2015-03-31,88000000
2015-06-30,3297000000
2015-09-30,2859000000
2015-12-31,3119000000
2016-03-31,1275000000
2016-06-30,3190000000
2016-09-30,3202000000
2016-12-31,2829000000
2017-03-31,2098000000
2017-06-30,4949000000
2017-09-30,3396000000
2017-12-31,2903000000
2018-03-31,3136000000
2018-06-30,4680000000
2018-09-30,4559000000
2018-12-31,2947000000
2019-03-31,2788000000
2019-06-30,-590000000
2019-09-30,-2424000000
2019-12-31,-2220000000
2020-03-31,-4302000000
2020-06-30,-5280000000
2020-09-30,-4819000000
2020-12-31,-4009000000
2021-03-31,-3387000000
2021-06-30,-483000000
2021-09-30,-262000000
2021-12-31,716000000
2022-03-31,-3216000000
2022-06-30,81000000
2022-09-30,3190000000
2022-12-31,3457000000
2023-03-31,-318000000
2023-06-30,2875000000
2023-09-30,22000000
