Time,grossProfit,totalRevenue,costOfRevenue,operatingIncome,operatingExpenses,interestAndDebtExpense,ebit
2008-08-31,2562100000,5432200000,2870100000,714200000,1856400000,None,707300000
2008-11-30,2050000000,4590100000,2540100000,520600000,1546800000,None,490800000
2009-02-28,1948500000,4440800000,2492300000,235400000,1352100000,None,954400000
2009-05-31,2043400000,4712900000,2669500000,649500000,1394300000,None,810100000
2009-08-31,2216000000,4799000000,2583000000,669400000,1546100000,None,669400000
2009-11-30,1960000000,4405000000,2445000000,482100000,1478600000,None,482100000
2010-02-28,2218000000,4733000000,2515000000,654200000,1563800000,None,654200000
2010-05-31,2406000000,5077000000,2671000000,668300000,1737900000,None,668300000
2010-08-31,2434000000,5175000000,2741000000,-233000000,2667000000,None,-233000000
2010-11-30,2193000000,4842000000,2649000000,-455000000,2648000000,None,-455000000
2011-02-28,2327000000,5079000000,2752000000,-369000000,2696000000,None,-369000000
2011-05-31,2248000000,5460000000,3212000000,-373000000,2927000000,None,-373000000
2011-08-31,2693000000,6081000000,5211000000,-261000000,2954000000,None,-261000000
2011-11-30,2376000000,5731000000,5101000000,-546000000,2996000000,None,-546000000
2012-02-29,2485000000,5846000000,5087000000,-428000000,2989000000,None,-428000000
2012-05-31,2669000000,6470000000,5689000000,-445000000,3212000000,None,-445000000
2012-08-31,2828000000,6669000000,5924000000,-517000000,3420000000,None,-517000000
2012-11-30,2530000000,5955000000,5264000000,-532000000,3062000000,None,-532000000
2013-02-28,2736000000,6187000000,5317000000,-374000000,3110000000,None,-374000000
2013-05-31,2940000000,6697000000,5783000000,-466000000,3406000000,None,-466000000
2013-08-31,3132000000,6971000000,5899000000,-253000000,3385000000,None,-253000000
2013-11-30,2826000000,6431000000,5697000000,-663000000,3489000000,None,-663000000
2014-02-28,3103000000,6972000000,6038000000,-499000000,3602000000,None,-499000000
2014-05-31,3385000000,7425000000,6485000000,-640000000,4025000000,None,-640000000
2014-08-31,3721000000,7982000000,6741000000,-342000000,4063000000,None,-342000000
2014-11-30,3327000000,7380000000,6491000000,-783000000,4110000000,None,-783000000
2015-02-28,3426000000,7460000000,6413000000,-601000000,4027000000,None,-601000000
2015-05-31,3593000000,7766000000,6781000000,5901000000,-2308000000,None,5901000000
2015-08-31,3995000000,8382000000,6996000000,1418000000,2577000000,None,1418000000
2015-11-30,3501000000,7686000000,6745000000,941000000,2560000000,None,941000000
2016-02-29,3689000000,8032000000,6909000000,1123000000,2566000000,None,1123000000
2016-05-31,3786000000,8338000000,7224000000,1020000000,2766000000,None,1020000000
2016-08-31,4123000000,9122000000,7835000000,1226000000,2897000000,None,1226000000
2016-11-30,3616000000,8180000000,7069000000,1111000000,2505000000,None,1111000000
2017-02-28,3750000000,8432000000,7178000000,1254000000,2496000000,None,1254000000
2017-05-31,3823000000,8704000000,7519000000,1158000000,2665000000,None,1158000000
2017-08-31,3962000000,9089000000,7964000000,1106000000,2856000000,None,1106000000
2017-11-30,3678000000,8554000000,7644000000,910000000,2768000000,None,910000000
2018-02-28,3938000000,8984000000,7813000000,1171000000,2767000000,None,1171000000
2018-05-31,4378000000,9758000000,8531000000,1258000000,3120000000,None,1258000000
2018-08-31,4397000000,19730000000,8614000000,1334000000,3063000000,None,1334000000
2018-11-30,4105000000,18748000000,8411000000,963000000,3142000000,None,963000000
2019-02-28,4339000000,9611000000,8363000000,1248000000,3091000000,None,1248000000
2019-05-31,4633000000,10169000000,8957000000,1227000000,3406000000,None,1227000000
2019-08-31,4871000000,10611000000,9117000000,1543000000,3328000000,None,1543000000
2019-11-30,4544000000,10326000000,9106000000,1220000000,3324000000,None,1220000000
2020-02-29,4473000000,10104000000,8914000000,1190000000,3283000000,None,1190000000
2020-05-31,2353000000,6241000000,7151000000,-838000000,3191000000,None,-838000000
2020-08-31,4741000000,10639000000,8828000000,1766000000,2975000000,None,1766000000
2020-11-30,4847000000,11243000000,9663000000,1580000000,3267000000,None,1580000000
2021-02-28,4719000000,10357000000,8679000000,1678000000,3041000000,None,1678000000
2021-05-31,5655000000,12352000000,10431000000,1913000000,3742000000,None,1913000000
2021-08-31,5696000000,12205000000,10124000000,2124000000,3572000000,None,2124000000
2021-11-30,5213000000,11357000000,9903000000,1454000000,3759000000,None,1454000000
2022-02-28,5067000000,10871000000,9242000000,1629000000,3438000000,None,1629000000
2022-05-31,5503000000,12263000000,10766000000,1468000000,4035000000,None,1468000000
2022-08-31,5615000000,12671000000,10992000000,1695000000,3920000000,None,1695000000
2022-11-30,5711000000,13315000000,11728000000,1587000000,4124000000,None,1587000000
2023-02-28,5371000000,12390000000,10978000000,1412000000,3959000000,None,1412000000
2023-05-31,5595000000,12841000000,11604000000,1221000000,4374000000,None,1221000000
2023-08-31,5720000000,12946000000,11335000000,1604000000,4116000000,None,1604000000
2023-11-30,5971000000,13388000000,11563000000,1825000000,4146000000,None,1825000000
