Time,totalAssets,longTermDebt
2009-09-05,38620000000,None
2009-12-31,39848000000,7502000000
2010-03-20,64144000000,None
2010-06-12,65074000000,None
2010-09-04,66702000000,None
2010-12-31,68153000000,21625000000
2011-03-19,73085000000,None
2011-06-11,75680000000,None
2011-09-03,75378000000,None
2011-12-31,72882000000,23117000000
2012-03-31,74391000000,22054000000
2012-06-16,72390000000,None
2012-09-08,74017000000,None
2012-12-31,74638000000,26445000000
2013-03-23,75355000000,23225000000
2013-09-07,76814000000,None
2013-12-31,77478000000,26557000000
2014-03-22,77493000000,24240000000
2014-06-14,80433000000,None
2014-09-06,80466000000,None
2014-12-31,70509000000,27917000000
2015-03-21,69625000000,22403000000
2015-06-13,72262000000,None
2015-09-05,69902000000,None
2015-12-31,69667000000,32322000000
2016-03-19,70019000000,None
2016-06-11,72711000000,None
2016-09-03,73897000000,None
2016-12-31,73490000000,34454000000
2017-03-31,74622000000,30081000000
2017-06-17,76943000000,None
2017-09-09,78463000000,None
2017-12-31,79804000000,37816000000
2018-03-31,81887000000,31931000000
2018-06-16,78731000000,None
2018-09-08,73632000000,None
2018-12-31,77648000000,32248000000
2019-03-23,75466000000,28458000000
2019-09-07,77444000000,None
2019-12-31,78547000000,31996000000
2020-03-21,85062000000,35361000000
2020-06-13,89525000000,None
2020-09-05,92041000000,None
2020-12-31,92918000000,43728000000
2021-03-20,91224000000,200000000
2021-06-12,92385000000,None
2021-09-04,93254000000,None
2021-12-31,92377000000,39898000000
2022-03-19,92962000000,None
2022-06-11,93103000000,None
2022-09-03,94461000000,None
2022-12-31,92187000000,38753000000
2023-03-31,93042000000,37486000000
2023-06-17,95906000000,None
2023-09-09,99953000000,None
