Time,totalAssets,longTermDebt
2003-09-30,381585128340,1036116000
2003-12-31,406723291080,1141521000
2004-03-31,406723291080,909000000
2004-06-30,440566110998,888000000
2004-09-30,461722480374.36,883000000
2004-12-31,500253548760,692539000
2005-03-31,500253548760,678000000
2005-06-30,499432157891.92,647000000
2005-09-30,484164151063.11,618000000
2005-12-31,521064239055,632950000
2006-03-31,521064239055,524000000
2006-06-30,594878859679.83,525000000
2006-09-30,550885100395.63,514000000
2006-12-31,587392961705,422427000
2007-03-31,587392961705,378000000
2007-06-30,638459381337.56,382000000
2007-09-30,585094714490,383000000
2007-12-31,570895743190,458665000
2008-03-31,570895743190,148000000
2008-06-30,596489038764.40,148000000
2008-09-30,548565831302,140000000
2008-12-31,560439475415,202772000
2009-03-31,560439475415,133000000
2009-06-30,587543000000,137000000
2009-09-30,541897118000,140000000
2009-12-31,594696200000,181099000
2010-03-31,594696200000,180290000
2010-06-30,680775592000,174846000
2010-09-30,667552049000,178583000
2010-12-31,718928900000,188627000
2011-03-31,718928900000,58468000
2011-06-30,783815613000,75403000
2011-09-30,734641087000,668108000
2011-12-31,774264900000,675867000
2012-03-31,774264900000,1264373000
2012-06-30,883906053000,1250831000
2012-09-30,878651770000,2653833000
2012-12-31,955034600000,2826420000
2013-03-31,955034600000,4263468000
2013-06-30,1169885454000,5692972000
2013-09-30,1177540215000,7145303000
2013-12-31,1262800700000,7092987000
2014-03-31,1262800700000,6982640000
2014-06-30,1345044767000,7085854000
2014-09-30,1349994840000,6984578000
2014-12-31,1494853000000,6788478000
2015-03-31,1494853000000,6851741000
2015-06-30,1608853066000,6562860000
2015-09-30,1576218810000,5821886000
2015-12-31,1657397400000,5855370000
2016-03-31,1657397400000,5630237000
2016-06-30,1804491560000,5627017000
2016-09-30,1718686763000,4866107000
2016-12-31,1886296700000,4725784000
2017-03-31,1886296700000,4417977000
2017-06-30,1986433777000,3269156000
2017-09-30,1841424382000,3027185000
2017-12-31,1991732000000,3097166000
2018-03-31,1991732000000,2865979000
2018-06-30,2053412954000,2730442469.18
2018-09-30,1969888788000,1862215676.65
2018-12-31,2090031200000,2128.29
2019-03-31,2090031200000,35300000000
2019-06-30,2239343671000,35300000000
2019-09-30,2134234450000,25100000000
2019-12-31,2264725000000,25100000000
2020-03-31,2264725000000,46475148000
2020-06-30,2448664522000,82439681000
2020-09-30,2635572214000,228027883000
2020-12-31,2760711405000,254105000000
2021-03-31,2760711405000,276838000000
2021-06-30,3092688800000,410465000000
2021-09-30,3332311884000,459733000000
2021-12-31,3725302200000,610071000000
2022-03-31,3725479503000,629650000000
2022-06-30,4345941335000,757208596000
2022-09-30,4643301766000,845441649000
2022-12-31,4964778878000,839096486000
2023-03-31,4964778878000,848638000000
2023-06-30,5149465000000,901710000000
2023-09-30,5484556381000,937492473000
