Time,totalAssets,longTermDebt
2009-06-30,139339000000,31864000000
2009-09-30,141294000000,32402000000
2009-12-31,212949000000,43193000000
2010-03-31,195113000000,38281000000
2010-06-30,191071000000,37765000000
2010-09-30,191415000000,39010000000
2010-12-31,195014000000,38410000000
2011-03-31,194956000000,35308000000
2011-06-30,195899000000,35723000000
2011-09-30,196132000000,35399000000
2011-12-31,188002000000,34931000000
2012-03-31,185683000000,33543000000
2012-06-30,182842000000,30868000000
2012-09-30,182603000000,31083000000
2012-12-31,185798000000,31036000000
2013-03-31,187398000000,31481000000
2013-06-30,179335000000,31532000000
2013-09-30,175521000000,31812000000
2013-12-31,172101000000,30462000000
2014-03-31,171808000000,27649000000
2014-06-30,172612000000,32267000000
2014-09-30,171362000000,31666000000
2014-12-31,167566000000,31541000000
2015-03-31,160640000000,29370000000
2015-06-30,160878000000,26729000000
2015-09-30,170867000000,29079000000
2015-12-31,167381000000,28818000000
2016-03-31,162929000000,27824000000
2016-06-30,171000000000,30457000000
2016-09-30,178430000000,30437000000
2016-12-31,171615000000,31398000000
2017-03-31,168784000000,36330000000
2017-06-30,169000000000,34191000000
2017-09-30,172000000000,34503000000
2017-12-31,172000000000,33538000000
2018-03-31,164612000000,31831000000
2018-06-30,164980000000,28935000000
2018-09-30,167838000000,33652000000
2018-12-31,159000000000,32909000000
2019-03-31,155421000000,35733000000
2019-06-30,156000000000,36168000000
2019-09-30,170000000000,36044000000
2019-12-31,167594000000,35955000000
2020-03-31,166000000000,36281000000
2020-06-30,178000000000,50529000000
2020-09-30,178983000000,49785000000
2020-12-31,154229000000,4000000000
2021-03-31,158818000000,35347000000
2021-06-30,169920000000,33847000000
2021-09-30,179188000000,36250000000
2021-12-31,181000000000,0
2022-03-31,183841000000,35656000000
2022-06-30,195290000000,34294000000
2022-09-30,195350000000,32629000000
2022-12-31,197000000000,32884000000
2023-03-31,195617000000,31704000000
2023-06-30,220000000000,61356000000
2023-09-30,215021000000,61048000000
