Time,operatingCashflow
2008-06-30,318887000
2008-09-30,387785000
2008-12-31,-517584000
2009-03-31,416000000
2009-06-30,362000000
2009-09-30,316000000
2009-12-31,284000000
2010-03-31,95000000
2010-06-30,343000000
2010-09-30,589000000
2010-12-31,670000000
2011-03-31,355000000
2011-06-30,538000000
2011-09-30,1007000000
2011-12-31,784000000
2012-03-31,427000000
2012-06-30,641000000
2012-09-30,1014000000
2012-12-31,866000000
2013-03-31,872000000
2013-06-30,742000000
2013-09-30,1322000000
2013-12-31,1199000000
2014-03-31,568000000
2014-06-30,729000000
2014-09-30,1385000000
2014-12-31,725000000
2015-03-31,911000000
2015-06-30,821000000
2015-09-30,1272000000
2015-12-31,1097000000
2016-03-31,1058000000
2016-06-30,1061000000
2016-09-30,1424000000
2016-12-31,1094000000
2017-03-31,727000000
2017-06-30,1325000000
2017-09-30,1789000000
2017-12-31,1823000000
2018-03-31,1035000000
2018-06-30,1489000000
2018-09-30,2367000000
2018-12-31,1332000000
2019-03-31,1312000000
2019-06-30,1536000000
2019-09-30,2355000000
2019-12-31,2980000000
2020-03-31,1859000000
2020-06-30,1458000000
2020-09-30,1654000000
2020-12-31,2253000000
2021-03-31,1463000000
2021-06-30,2268000000
2021-09-30,2543000000
2021-12-31,3189000000
2022-03-31,1782000000
2022-06-30,2457000000
2022-09-30,3856000000
2022-12-31,3100000000
2023-03-31,1919000000
2023-06-30,2698000000
2023-09-30,3233000000
