Time,grossProfit,totalRevenue,costOfRevenue,operatingIncome,operatingExpenses,interestAndDebtExpense,ebit
2009-12-03,443000000,1618000000,1394000000,201000000,279000000,47000000,244000000
2010-03-04,642000000,1924000000,1418000000,415000000,286000000,46000000,415000000
2010-06-03,848000000,2244000000,1625000000,540000000,370000000,44000000,942000000
2010-09-02,781000000,2493000000,1850000000,433000000,426000000,41000000,408000000
2010-12-02,524000000,2365000000,1868000000,390000000,-113000000,-113000000,241000000
2011-03-03,435000000,2257000000,1968000000,179000000,344000000,28000000,135000000
2011-06-02,478000000,2139000000,1812000000,237000000,383000000,28000000,207000000
2011-09-01,321000000,2140000000,2093000000,-51000000,588000000,30000000,-89000000
2011-12-01,305000000,2090000000,1958000000,-71000000,439000000,35000000,-154000000
2012-03-01,210000000,34000000,1995000000,-204000000,458000000,35000000,-238000000
2012-05-31,234000000,2111000000,2094000000,-188000000,447000000,56000000,-302000000
2012-08-30,219000000,1963000000,2056000000,-149000000,643000000,53000000,-176000000
2012-11-29,217000000,1723000000,1756000000,-97000000,415000000,57000000,-205000000
2013-02-28,366000000,1874000000,1918000000,-23000000,497000000,31000000,-239000000
2013-05-30,556000000,2214000000,1965000000,149000000,488000000,54000000,96000000
2013-08-29,708000000,2843000000,32000000,207000000,32000000,64000000,1777000000
2013-11-28,1281000000,3852000000,2957000000,551000000,700000000,92000000,539000000
2014-02-27,1403000000,4009000000,2924000000,869000000,648000000,80000000,877000000
2014-05-29,1368000000,3897000000,2831000000,839000000,646000000,16000000,958000000
2014-08-28,1385000000,4227000000,3234000000,828000000,729000000,17000000,1151000000
2014-12-04,1638000000,4573000000,3159000000,1085000000,594000000,120000000,1168000000
2015-03-05,1405000000,4166000000,2979000000,855000000,593000000,83000000,1064000000
2015-06-04,1202000000,3853000000,2850000000,631000000,601000000,97000000,692000000
2015-09-03,970000000,3600000000,2828000000,427000000,574000000,102000000,503000000
2015-12-03,849000000,3350000000,2726000000,232000000,646000000,96000000,298000000
2016-03-03,579000000,2934000000,2560000000,-5000000,608000000,97000000,5000000
2016-06-02,498000000,2898000000,2578000000,-27000000,560000000,109000000,-91000000
2016-09-01,579000000,3536000000,2873000000,-32000000,642000000,135000000,-32000000
2016-12-01,1011000000,3970000000,2959000000,359000000,629000000,140000000,350000000
2017-03-02,1704000000,4648000000,2944000000,1044000000,660000000,161000000,1093000000
2017-06-01,2609000000,5566000000,2957000000,1963000000,638000000,153000000,1892000000
2017-08-31,3112000000,6138000000,3026000000,2502000000,742000000,185000000,2469000000
2017-11-30,3747000000,6803000000,3056000000,3097000000,639000000,319000000,2916000000
2018-03-01,4270000000,7351000000,3081000000,3567000000,726000000,88000000,3540000000
2018-05-31,4723000000,7797000000,3074000000,3953000000,814000000,80000000,3794000000
2018-08-30,5151000000,8440000000,3289000000,4377000000,714000000,49000000,4395000000
2018-11-29,4615000000,7889000000,3540000000,3759000000,853000000,19000000,3803000000
2019-02-28,2864000000,5805000000,3231000000,1957000000,861000000,27000000,1926000000
2019-05-30,1828000000,4758000000,3175000000,1010000000,821000000,29000000,734000000
2019-08-29,1395000000,4870000000,3565000000,650000000,756000000,49000000,671000000
2019-11-28,1366000000,5137000000,4025000000,518000000,887000000,5000000,593000000
2020-02-27,1355000000,4749000000,3714000000,440000000,953000000,46000000,472000000
2020-05-28,1763000000,5384000000,3924000000,888000000,898000000,51000000,922000000
2020-09-03,2068000000,6016000000,4379000000,1157000000,1018000000,50000000,1174000000
2020-12-03,1736000000,5725000000,4295000000,866000000,905000000,48000000,902000000
2021-03-04,1649000000,6194000000,4823000000,663000000,877000000,42000000,693000000
2021-06-03,3126000000,7375000000,4995000000,1799000000,1369000000,47000000,1846000000
2021-09-02,3912000000,8251000000,4660000000,2955000000,979000000,47000000,2997000000
2021-12-02,3565000000,7559000000,4464000000,2631000000,1054000000,83000000,2570000000
2022-03-03,3676000000,7731000000,4405000000,2546000000,1087000000,55000000,2573000000
2022-06-02,4035000000,8603000000,4894000000,3004000000,1055000000,44000000,3028000000
2022-09-01,2622000000,6623000000,4352000000,1521000000,1145000000,45000000,1593000000
2022-12-01,893000000,4034000000,3503000000,-209000000,1160000000,51000000,-136000000
2023-03-02,-1206000000,3693000000,4899000000,-2303000000,1011000000,None,-2169000000
2023-06-01,-668000000,3752000000,4420000000,-1761000000,1025000000,None,-1638000000
2023-08-31,-435000000,4010000000,101000000,-1472000000,101000000,None,-1325000000
2023-11-30,-35000000,4594000000,5076000000,-1128000000,1160000000,132000000,-1029000000
