Time,grossProfit,totalRevenue,costOfRevenue,operatingIncome,operatingExpenses,interestAndDebtExpense,ebit
2008-06-30,2600000000,7464000000,4864000000,1392000000,1208000000,None,1392000000
2008-09-30,4791000000,7895000000,5156000000,3494000000,1297000000,None,3494000000
2008-12-31,4507000000,10167000000,6635000000,3101000000,1406000000,None,3101000000
2009-03-31,3627000000,8163000000,5192000000,2323000000,1304000000,None,2323000000
2009-06-30,3983000000,8337000000,5314000000,2632000000,1351000000,None,2632000000
2009-09-30,5105000000,12207000000,7102000000,3684000000,1421000000,None,3684000000
2009-12-31,6411000000,15683000000,10560000000,4725000000,1686000000,None,4725000000
2010-03-31,5625000000,13499000000,9094000000,3979000000,1646000000,None,3979000000
2010-06-30,6136000000,15700000000,11002000000,4234000000,1902000000,None,4234000000
2010-09-30,7512000000,20343000000,15217000000,5447000000,2065000000,None,5447000000
2010-12-31,10298000000,26741000000,18339000000,7827000000,2471000000,None,7827000000
2011-03-31,10218000000,24708000000,16212000000,7874000000,2344000000,None,7874000000
2011-06-30,11922000000,28571000000,18564000000,9379000000,2543000000,None,9379000000
2011-09-30,11380000000,28270000000,20515000000,8710000000,2670000000,None,8710000000
2011-12-31,20703000000,46333000000,28235000000,17340000000,3363000000,None,17340000000
2012-03-31,18564000000,39186000000,22961000000,15384000000,3180000000,None,15384000000
2012-06-30,14994000000,35023000000,22574000000,11573000000,3421000000,None,11573000000
2012-09-30,14401000000,35966000000,26716000000,10944000000,3457000000,None,10944000000
2012-12-31,21060000000,54512000000,36292000000,17210000000,3850000000,0,17672000000
2013-03-31,16349000000,43603000000,29926000000,12558000000,3791000000,0,12905000000
2013-06-30,13024000000,35270000000,24944000000,9201000000,3823000000,53000000,9488000000
2013-09-30,13871000000,37472000000,32074000000,10030000000,3841000000,83000000,10226000000
2013-12-31,21846000000,57510000000,38801000000,17463000000,4383000000,84000000,17793000000
2014-03-31,17947000000,45561000000,30631000000,13593000000,4354000000,85000000,13903000000
2014-06-30,14735000000,37332000000,25547000000,10282000000,4453000000,100000000,10584000000
2014-09-30,16009000000,42123000000,36172000000,11165000000,4844000000,115000000,11587000000
2014-12-31,29741000000,74468000000,48458000000,24246000000,5495000000,131000000,24547000000
2015-03-31,23656000000,57847000000,37814000000,18278000000,5378000000,163000000,18727000000
2015-06-30,19681000000,49404000000,33488000000,14083000000,5598000000,201000000,14674000000
2015-09-30,20548000000,51501000000,43858000000,14623000000,5925000000,238000000,15300000000
2015-12-31,30423000000,75596000000,49297000000,24171000000,6252000000,276000000,24849000000
2016-03-31,19921000000,50236000000,34059000000,13987000000,5934000000,321000000,14463000000
2016-06-30,16106000000,41949000000,29693000000,10105000000,6001000000,409000000,10878000000
2016-09-30,17813000000,47858000000,40821000000,11761000000,6052000000,450000000,12638000000
2016-12-31,30176000000,78351000000,48175000000,23359000000,6817000000,525000000,24705000000
2017-03-31,20591000000,52896000000,32305000000,14097000000,6494000000,530000000,15214000000
2017-06-30,17488000000,45408000000,27920000000,10768000000,6720000000,602000000,11910000000
2017-09-30,19931000000,52579000000,32648000000,13120000000,6811000000,666000000,14583000000
2017-12-31,33912000000,88293000000,54381000000,26274000000,7638000000,734000000,27764000000
2018-03-31,23422000000,61137000000,37715000000,15894000000,7528000000,792000000,16960000000
2018-06-30,20421000000,53265000000,32844000000,12612000000,7809000000,846000000,14130000000
2018-09-30,24084000000,62900000000,38816000000,16118000000,7966000000,868000000,17289000000
2018-12-31,32031000000,83420000000,57062000000,23346000000,8685000000,890000000,24796000000
2019-03-31,21821000000,57005000000,40652000000,13415000000,8406000000,1010000000,14803000000
2019-06-30,20227000000,52943000000,38008000000,11544000000,8683000000,866000000,12777000000
2019-09-30,24313000000,64040000000,44305000000,15625000000,8688000000,810000000,16937000000
2019-12-31,35217000000,91034000000,61799000000,25569000000,9648000000,785000000,26703000000
2020-03-31,22370000000,57556000000,40895000000,12853000000,9517000000,757000000,13892000000
2020-06-30,22680000000,58988000000,41836000000,13091000000,9589000000,697000000,13834000000
2020-09-30,24689000000,64698000000,44945000000,14775000000,9914000000,634000000,15535000000
2020-12-31,44328000000,110801000000,72742000000,33534000000,10794000000,638000000,34217000000
2021-03-31,38079000000,88914000000,56819000000,27503000000,10576000000,670000000,28681000000
2021-06-30,35255000000,80769000000,51591000000,24126000000,11129000000,665000000,25034000000
2021-09-30,35174000000,82688000000,53802000000,23786000000,11388000000,672000000,23920000000
2021-12-31,54243000000,123251000000,76151000000,41488000000,12755000000,694000000,41935000000
2022-03-31,42559000000,96587000000,60912000000,29979000000,12580000000,691000000,30830000000
2022-06-30,35885000000,82240000000,53086000000,23076000000,12809000000,719000000,23785000000
2022-09-30,38095000000,89319000000,58491000000,24894000000,13201000000,827000000,25484000000
2022-12-31,50332000000,116151000000,73429000000,36016000000,14316000000,1003000000,36626000000
2023-03-31,41976000000,94836000000,52860000000,28318000000,13658000000,None,29312000000
2023-06-30,36413000000,80799000000,51357000000,22998000000,13415000000,998000000,23731000000
2023-09-30,40427000000,88496000000,55222000000,26969000000,13458000000,1002000000,28000000000
