Time,totalAssets,longTermDebt
2011-06-30,646155000,134177000
2011-09-30,700250000,225000000
2011-12-31,713448000,276251000
2012-03-31,761100000,301294000
2012-06-30,776869000,373537000
2012-09-30,809177000,410241000
2012-12-31,1114190000,452336000
2013-03-31,1143778000,420741000
2013-06-30,1887844000,584395000
2013-09-30,2166209000,1702502000
2013-12-31,2416930000,586301000
2014-03-31,4500410000,1779875000
2014-06-30,5054463000,1923712000
2014-09-30,5437533000,2384261000
2014-12-31,5830667000,2959795000
2015-03-31,6120030000,1233708000
2015-06-30,6468185000,1369262000
2015-09-30,7547497000,1181000000
2015-12-31,8067939000,441000000
2016-03-31,9191702000,1855285000
2016-06-30,11868952000,1756826000
2016-09-30,12592397000,200000000
2016-12-31,22664076000,5892016000
2017-03-31,25053726000,6927937000
2017-06-30,26043705000,6755563000
2017-09-30,28107074000,9049729000
2017-12-31,28655372000,8828985000
2018-03-31,27271429000,8219577000
2018-06-30,27910000000,8626114000
2018-09-30,29262713000,8665163000
2018-12-31,29740000000,8411000000
2019-03-31,28912524000,8650023000
2019-06-30,31872597000,9905847000
2019-09-30,32795000000,10096000000
2019-12-31,34309000000,10402000000
2020-03-31,37250000000,9479000000
2020-06-30,38135000000,9247000000
2020-09-30,45691000000,9428000000
2020-12-31,52148000000,8462000000
2021-03-31,52972000000,8019000000
2021-06-30,55146000000,6878000000
2021-09-30,57834000000,5439000000
2021-12-31,62131000000,4254000000
2022-03-31,66038000000,2253000000
2022-06-30,68513000000,2095000000
2022-09-30,74426000000,1418000000
2022-12-31,82338000000,1029000000
2023-03-31,86833000000,817000000
2023-06-30,90591000000,504000000
2023-09-30,93941000000,2152000000
2023-12-31,106618000000,2682000000
