Time,grossProfit,totalRevenue,costOfRevenue,operatingIncome,operatingExpenses,interestAndDebtExpense,ebit
2008-06-30,9840000000,12129000000,2289000000,2709000000,6492000000,None,3906000000
2008-09-30,9851000000,11973000000,2122000000,2521000000,6029000000,None,4922000000
2008-12-31,10631000000,12346000000,1715000000,4064000000,6567000000,None,8275000000
2009-03-31,9459000000,10867000000,1408000000,4300000000,5102000000,None,4911000000
2009-06-30,9228000000,10984000000,1756000000,3580000000,5720000000,None,3967000000
2009-09-30,5956000000,11621000000,5665000000,448000000,5508000000,369000000,4339000000
2009-12-31,6113000000,16537000000,10424000000,-3237000000,9350000000,464000000,423000000
2010-03-31,5793000000,16099000000,10306000000,-2606000000,8876000000,522000000,3683000000
2010-06-30,6300000000,16928000000,10628000000,-2825000000,9329000000,389000000,4336000000
2010-09-30,-212000000,15581000000,212000000,-212000000,8829000000,427000000,1851000000
2010-12-31,5604000000,17402000000,11798000000,-4203000000,10511000000,461000000,1337000000
2011-03-31,6110000000,16056000000,9946000000,-2234000000,8790000000,458000000,3574000000
2011-06-30,6081000000,16095000000,10014000000,-2593000000,9064000000,404000000,4091000000
2011-09-30,6717000000,16207000000,9490000000,-1540000000,8659000000,423000000,5377000000
2011-12-31,5566000000,17944000000,12378000000,-5220000000,11228000000,396000000,2289000000
2012-03-31,5520000000,14495000000,8975000000,-2772000000,8682000000,390000000,2895000000
2012-06-30,6065000000,13590000000,7525000000,-684000000,7127000000,378000000,4811000000
2012-09-30,5647000000,13613000000,7966000000,-1635000000,7645000000,382000000,3406000000
2012-12-31,4848000000,14741000000,9893000000,-4490000000,9704000000,373000000,7287000000
2013-03-31,5496000000,13599000000,8103000000,-1675000000,7072000000,391000000,4230000000
2013-06-30,6721000000,12586000000,5865000000,1568000000,5540000000,356000000,16233000000
2013-09-30,5279000000,12303000000,7024000000,-1085000000,6704000000,340000000,3915000000
2013-12-31,4252000000,13475000000,9223000000,-3935000000,8673000000,347000000,3345000000
2014-03-31,5844000000,11124000000,5280000000,972000000,5193000000,321000000,3232000000
2014-06-30,6471000000,12534000000,6063000000,1111000000,5703000000,343000000,4337000000
2014-09-30,6121000000,12269000000,6148000000,539000000,5582000000,343000000,3920000000
2014-12-31,2007000000,13030000000,11023000000,-9523000000,11530000000,353000000,2126000000
2015-03-31,5780000000,10777000000,4997000000,736000000,5044000000,309000000,3391000000
2015-06-30,6156000000,11832000000,5676000000,926000000,5230000000,278000000,3809000000
2015-09-30,5374000000,12013000000,6639000000,-768000000,6142000000,278000000,2975000000
2015-12-31,354000000,13145000000,12791000000,-11375000000,11729000000,335000000,-25000000
2016-03-31,6402000000,12886000000,6484000000,764000000,5638000000,306000000,3857000000
2016-06-30,5388000000,13129000000,7741000000,-1188000000,6576000000,292000000,2686000000
2016-09-30,5732000000,12987000000,7255000000,-279000000,6011000000,291000000,1895000000
2016-12-31,-241000000,13229000000,241000000,-482000000,241000000,609000000,1086000000
2017-03-31,6737000000,12604000000,5867000000,1614000000,5075000000,309000000,4251000000
2017-06-30,6439000000,12584000000,6145000000,1156000000,5283000000,312000000,4124000000
2017-09-30,6236000000,12871000000,6635000000,438000000,5798000000,320000000,3887000000
2017-12-31,4634000000,12828000000,8194000000,-2745000000,7327000000,1329000000,1268000000
2018-03-31,6673000000,12609000000,5936000000,1501000000,5172000000,313000000,4427000000
2018-06-30,6701000000,13159000000,6458000000,1381000000,5320000000,326000000,4846000000
2018-09-30,6721000000,12926000000,6205000000,1104000000,5617000000,310000000,4490000000
2018-12-31,2762000000,13734000000,10972000000,-7824000000,10586000000,373000000,-1559000000
2019-03-31,6696000000,12624000000,5928000000,1455000000,5241000000,499000000,4678000000
2019-06-30,6961000000,12892000000,5931000000,1723000000,5238000000,389000000,4520000000
2019-09-30,6113000000,12284000000,6171000000,210000000,5903000000,409000000,11136000000
2019-12-31,2168000000,12298000000,10130000000,-8475000000,10643000000,416000000,-2151000000
2020-03-31,6407000000,11657000000,5250000000,1733000000,4674000000,390000000,4104000000
2020-06-30,5874000000,11428000000,5554000000,343000000,5531000000,372000000,4278000000
2020-09-30,5211000000,11713000000,6502000000,-1104000000,6315000000,416000000,1467000000
2020-12-31,678000000,6852000000,5046000000,-6368000000,7046000000,271000000,1129000000
2021-03-31,7518000000,14208000000,6690000000,2694000000,4824000000,336000000,6021000000
2021-06-30,8878000000,18559000000,9681000000,3532000000,5346000000,316000000,7002000000
2021-09-30,11443000000,23788000000,12345000000,4418000000,7025000000,325000000,8143000000
2021-12-31,6731000000,24730000000,16829000000,-7259000000,13990000000,316000000,3958000000
2022-03-31,13182000000,25661000000,12479000000,7670000000,5512000000,322000000,9358000000
2022-06-30,15598000000,27742000000,12144000000,9562000000,6036000000,293000000,11769000000
2022-09-30,13091000000,22638000000,9547000000,5997000000,7094000000,311000000,9275000000
2022-12-31,6039000000,24290000000,18251000000,-6856000000,12895000000,313000000,5537000000
2023-03-31,13396000000,18282000000,4886000000,7293000000,7026000000,None,6576000000
2023-06-30,5882000000,12734000000,6852000000,-646000000,6528000000,508000000,2764000000
2023-09-30,625000000,13232000000,12607000000,-5654000000,6279000000,695000000,-2651000000
