Time,operatingCashflow
2008-09-30,45441000000
2008-12-31,-2235000000
2009-03-31,-8326000000
2009-06-30,4245000000
2009-09-30,175000000
2009-12-31,-7508000000
2010-03-31,35418000000
2010-06-30,2725000000
2010-09-30,2227000000
2010-12-31,1471000000
2011-03-31,1039000000
2011-06-30,3403000000
2011-09-30,3743000000
2011-12-31,998000000
2012-03-31,5498000000
2012-06-30,2986000000
2012-09-30,295000000
2012-12-31,1224000000
2013-03-31,25019000000
2013-06-30,4274000000
2013-09-30,3317000000
2013-12-31,2506000000
2014-03-31,9844000000
2014-06-30,231000000
2014-09-30,2898000000
2014-12-31,381000000
2015-03-31,-2943000000
2015-06-30,4864000000
2015-09-30,4296000000
2015-12-31,3360000000
2016-03-31,-7519000000
2016-06-30,4024000000
2016-09-30,3857000000
2016-12-31,3588000000
2017-03-31,-12113000000
2017-06-30,3904000000
2017-09-30,4132000000
2017-12-31,-18874000000
2018-03-31,16504000000
2018-06-30,4516000000
2018-09-30,4625000000
2018-12-31,-42427000000
2019-03-31,-123451000000
2019-06-30,4557000000
2019-09-30,4713000000
2019-12-31,131809000000
2020-03-31,-25533000000
2020-06-30,6325000000
2020-09-30,-3046000000
2020-12-31,-1234000000
2021-03-31,23198000000
2021-06-30,365000000
2021-09-30,35622000000
2021-12-31,-12095000000
2022-03-31,-9247000000
2022-06-30,23491000000
2022-09-30,-1988000000
2022-12-31,12813000000
2023-03-31,-30485000000
2023-06-30,-54059000000
2023-09-30,15794000000
