Time,operatingCashflow
2009-09-30,-22391000000
2009-12-31,25523000000
2010-03-31,-7504000000
2010-06-30,-13000000000
2010-09-30,-10619000000
2010-12-31,-9282000000
2011-03-31,1900000000
2011-06-30,-17186000000
2011-09-30,-424000000
2011-12-31,19215000000
2012-03-31,3538000000
2012-06-30,940000000
2012-09-30,1482000000
2012-12-31,2961000000
2013-03-31,-5698000000
2013-06-30,1934000000
2013-09-30,1517000000
2013-12-31,2280000000
2014-03-31,-4221000000
2014-06-30,2037000000
2014-09-30,2241000000
2014-12-31,17576000000
2015-03-31,-10145000000
2015-06-30,1048000000
2015-09-30,1426000000
2015-12-31,-54196000000
2016-03-31,17077000000
2016-06-30,1822000000
2016-09-30,2094000000
2016-12-31,-4739000000
2017-03-31,-15928000000
2017-06-30,1922000000
2017-09-30,2713000000
2017-12-31,-9105000000
2018-03-31,-964000000
2018-06-30,8598000000
2018-09-30,-5314000000
2018-12-31,14244000000
2019-03-31,-44368000000
2019-06-30,8631000000
2019-09-30,9774000000
2019-12-31,49831000000
2020-03-31,-53031000000
2020-06-30,-11647000000
2020-09-30,34936000000
2020-12-31,11207000000
2021-03-31,-5183000000
2021-06-30,20467000000
2021-09-30,-39260000000
2021-12-31,30274000000
2022-03-31,-19534000000
2022-06-30,45394000000
2022-09-30,16010000000
2022-12-31,-33162000000
2023-03-31,9404000000
2023-06-30,31901000000
2023-09-30,-25534000000
