Time,operatingCashflow
2011-06-30,-22488000
2011-09-30,-21491000
2011-12-31,-40758000
2012-03-31,-63300000
2012-06-30,-64264000
2012-09-30,-101026000
2012-12-31,-37491000
2013-03-31,64079000
2013-06-30,-38193000
2013-09-30,102346000
2013-12-31,129762000
2014-03-31,60640000
2014-06-30,-25800000
2014-09-30,-34508000
2014-12-31,261697000
2015-03-31,-149404000
2015-06-30,-119427000
2015-09-30,-155358000
2015-12-31,218564000
2016-03-31,-334544000
2016-06-30,-179188000
2016-09-30,148678000
2016-12-31,-1551561000
2017-03-31,-54056000
2017-06-30,-90981000
2017-09-30,-300562000
2017-12-31,509545000
2018-03-31,-398376000
2018-06-30,-129664000
2018-09-30,1391040000
2018-12-31,1235000000
2019-03-31,-640000000
2019-06-30,864000000
2019-09-30,756000000
2019-12-31,1425000000
2020-03-31,-440000000
2020-06-30,964000000
2020-09-30,2400000000
2020-12-31,3019000000
2021-03-31,1641000000
2021-06-30,2124000000
2021-09-30,3147000000
2021-12-31,4585000000
2022-03-31,3995000000
2022-06-30,2351000000
2022-09-30,5100000000
2022-12-31,3278000000
2023-03-31,2513000000
2023-06-30,3065000000
2023-09-30,3308000000
2023-12-31,4370000000
