Time,grossProfit,totalRevenue,costOfRevenue,operatingIncome,operatingExpenses,interestAndDebtExpense,ebit
2009-06-30,4365900000,7343513000,5153250000,1671420000,2831427000,136969000,1671420000
2009-09-30,4401200000,7626718000,5445847000,1639753000,2896008000,134612000,1639753000
2009-12-31,5005900000,8790100000,6232010000,1863809000,3488720000,123885000,1863809000
2010-03-31,4363200000,7510134000,5772756000,1470483000,3286220000,118201000,1470483000
2010-06-30,5282100000,8732409000,6287350000,1605966000,3810604000,134488000,1605966000
2010-09-30,4933400000,8546359000,6414393000,1181185000,3901306000,149102000,1181185000
2010-12-31,5922800000,9967800000,7248616000,1829947000,5035552000,151344000,1829947000
2011-03-31,5181900000,8927629000,7100848000,1301149000,4417852000,145587000,1301149000
2011-06-30,5745800000,9492958000,6632558000,1773453000,4106495000,134129000,1773453000
2011-09-30,5843400000,9697344000,8212160000,594878000,5372876000,124339000,594878000
2011-12-31,6539600000,10377400000,7163634000,-2040480000,5099452000,126086000,-2040480000
2012-03-31,2716000000,9305005000,7114285000,509185000,3566230000,126866000,1436241000
2012-06-30,2748000000,9694063000,6581797000,564190000,4192565000,127191000,1926951000
2012-09-30,2581000000,9627466000,6620001000,310017000,4238144000,152034000,1987424000
2012-12-31,2837000000,10836900000,7977727000,-23392000,7058033000,1537285000,386694000
2013-03-31,2479000000,5308273000,4416784000,615000000,2372061000,40757000,596000000
2013-06-30,2429000000,5394751000,4259100000,627000000,2117358000,40526000,641000000
2013-09-30,2417000000,5324740000,4185225000,473000000,2131369000,39799000,840000000
2013-12-31,2551000000,5655000000,4512301000,628000000,2321567000,35918000,746000000
2014-03-31,2354000000,5203000000,4406000000,365000000,2362000000,39000000,528000000
2014-06-30,2636000000,5511000000,4294000000,677000000,2162000000,39000000,735000000
2014-09-30,2628000000,5070000000,3934000000,728000000,1910000000,35000000,850000000
2014-12-31,2856000000,5356000000,4110000000,829000000,2166000000,61000000,1118000000
2015-03-31,2660000000,4914000000,3974000000,610000000,2206000000,37000000,2453000000
2015-06-30,2801000000,5328000000,3945000000,729000000,2072000000,44000000,1028000000
2015-09-30,2757000000,5123000000,3908000000,713000000,2044000000,41000000,739000000
2015-12-31,2839000000,5188000000,4004000000,815000000,2167000000,41000000,943000000
2016-03-31,2601000000,4349000000,3982000000,524000000,2221000000,58000000,320000000
2016-06-30,2901000000,5220000000,4169000000,816000000,2230000000,103000000,834000000
2016-09-30,2877000000,5176000000,4053000000,897000000,2120000000,117000000,-34000000
2016-12-31,2900000000,5333000000,4989000000,789000000,3020000000,153000000,1061000000
2017-03-31,2751000000,7276000000,5990000000,-242000000,2342000000,226000000,995000000
2017-06-30,3056000000,6435000000,5305000000,386000000,2645000000,214000000,522000000
2017-09-30,3452000000,6617000000,4956000000,769000000,2661000000,218000000,886000000
2017-12-31,3747000000,7589000000,6285000000,651000000,3635000000,246000000,856000000
2018-03-31,3739000000,7152000000,6193000000,608000000,3715000000,241000000,667000000
2018-06-30,3923000000,7563000000,5748000000,882000000,3041000000,210000000,1002000000
2018-09-30,3946000000,7375000000,5543000000,995000000,2951000000,270000000,932000000
2018-12-31,4086000000,7765000000,6038000000,1165000000,3409000000,272000000,1132000000
2019-03-31,3889000000,7358000000,6124000000,739000000,3636000000,171000000,803000000
2019-06-30,4217000000,7815000000,5713000000,1206000000,3011000000,168000000,1270000000
2019-09-30,4234000000,7902000000,5798000000,1198000000,3036000000,167000000,1270000000
2019-12-31,4397000000,8314000000,6330000000,1389000000,3491000000,227000000,1404000000
2020-03-31,1192000000,7582000000,6390000000,758000000,3708000000,139000000,792000000
2020-06-30,1656000000,7195000000,5539000000,672000000,2840000000,134000000,660000000
2020-09-30,2455000000,8723000000,6268000000,1495000000,2882000000,137000000,1558000000
2020-12-31,2963000000,10570000000,7607000000,2432000000,3837000000,136000000,2528000000
2021-03-31,2624000000,10318000000,7694000000,2109000000,3962000000,135000000,2178000000
2021-06-30,2416000000,10089000000,7673000000,1392000000,3380000000,134000000,1482000000
2021-09-30,3601000000,10791000000,7190000000,2546000000,3439000000,133000000,2626000000
2021-12-31,2960000000,11343000000,8383000000,2378000000,4389000000,131000000,2458000000
2022-03-31,3481000000,11767000000,8286000000,2912000000,3999000000,131000000,3007000000
2022-06-30,2928000000,11125000000,8197000000,2376000000,3948000000,132000000,2484000000
2022-09-30,2392000000,10250000000,7858000000,1770000000,4011000000,141000000,1899000000
2022-12-31,1372000000,9951000000,8579000000,1304000000,4301000000,154000000,1474000000
2023-03-31,2004000000,9588000000,7584000000,1509000000,3915000000,153000000,1715000000
2023-06-30,2077000000,9798000000,7721000000,1542000000,3953000000,159000000,1795000000
2023-09-30,2163000000,9987000000,7824000000,1647000000,3891000000,166000000,1837000000
