Time,totalAssets,longTermDebt
2009-06-30,26915000000000,348046000000
2009-09-30,1888599000000,379557000000
2009-12-31,1856646000000,364019000000
2010-03-31,2002213000000,439274000000
2010-06-30,1937656000000,413297000000
2010-09-30,1983280000000,387330000000
2010-12-31,1913902000000,381183000000
2011-03-31,1947815000000,376541000000
2011-06-30,1956626000000,352458000000
2011-09-30,1935992000000,333824000000
2011-12-31,1873878000000,323505000000
2012-03-31,1944423000000,311079000000
2012-06-30,1916451000000,288334000000
2012-09-30,1931346000000,271862000000
2012-12-31,1864660000000,239463000000
2013-03-31,1881734000000,234326000000
2013-06-30,1883988000000,220959000000
2013-09-30,1899511000000,221593000000
2013-12-31,1880382000000,221116000000
2014-03-31,1894736000000,222747000000
2014-06-30,1909715000000,226984000000
2014-09-30,1882849000000,223842000000
2014-12-31,1842181000000,223080000000
2015-03-31,1831801000000,210522000000
2015-06-30,1829370000000,211845000000
2015-09-30,1808356000000,213533000000
2015-12-31,1731000000000,201275000000
2016-03-31,1801000000000,207835000000
2016-06-30,1819000000000,207448000000
2016-09-30,1818000000000,209051000000
2016-12-31,1792000000000,206178000000
2017-03-31,1822000000000,208530000000
2017-06-30,1864000000000,225179000000
2017-09-30,1889000000000,232673000000
2017-12-31,1842465000000,236709000000
2018-03-31,1922000000000,237938000000
2018-06-30,1912000000000,236822000000
2018-09-30,1925165000000,235270000000
2018-12-31,1917383000000,231999000000
2019-03-31,1958000000000,243566000000
2019-06-30,1988000000000,252189000000
2019-09-30,2014802000000,242238000000
2019-12-31,1951158000000,248760000000
2020-03-31,2220000000000,266098000000
2020-06-30,2233000000000,279775000000
2020-09-30,2234000000000,273254000000
2020-12-31,2260000000000,271686000000
2021-03-31,2291000000000,256335000000
2021-06-30,2291000000000,264575000000
2021-09-30,2361876000000,258274000000
2021-12-31,2291413000000,254374000000
2022-03-31,2394000000000,253954000000
2022-06-30,2381000000000,257425000000
2022-09-30,2381000000000,253068000000
2022-12-31,2417000000000,271606000000
2023-03-31,2455113000000,279684000000
2023-06-30,2424000000000,274510000000
2023-09-30,2368000000000,275760000000
