Time,totalAssets,longTermDebt
2009-06-30,7675000000,109000000
2009-09-30,8972000000,116000000
2009-12-31,13813000000,109000000
2010-03-31,12042000000,131000000
2010-06-30,12397000000,132000000
2010-09-30,14162000000,164000000
2010-12-31,18797000000,184000000000
2011-03-31,16882000000,None
2011-06-30,17941000000,None
2011-09-30,19054000000,None
2011-12-31,25278000000,384000000
2012-03-31,20339000000,None
2012-06-30,21022000000,None
2012-09-30,22834000000,None
2012-12-31,32555000000,3691000000
2013-03-31,28377000000,3718000000
2013-06-30,29623000000,3758000000
2013-09-30,31861000000,3747000000
2013-12-31,40159000000,3967000000
2014-03-31,36364000000,3953000000
2014-06-30,37898000000,4000000000
2014-09-30,40419000000,3983000000
2014-12-31,54505000000,9881000000
2015-03-31,50075000000,9729000000
2015-06-30,52440000000,9602000000
2015-09-30,56230000000,9451000000
2015-12-31,64747000000,8562000000
2016-03-31,61128000000,8405000000
2016-06-30,65076000000,8347000000
2016-09-30,70897000000,8345000000
2016-12-31,83402000000,8838000000
2017-03-31,80969000000,8827000000
2017-06-30,87781000000,8832000000
2017-09-30,115267000000,25847000000
2017-12-31,131310000000,24942000000
2018-03-31,126362000000,24792000000
2018-06-30,134100000000,24770000000
2018-09-30,143695000000,24829000000
2018-12-31,162648000000,24965000000
2019-03-31,178102000000,25031000000
2019-06-30,191351000000,25066000000
2019-09-30,199099000000,25411000000
2019-12-31,225248000000,24820000000
2020-03-31,221238000000,24849000000
2020-06-30,258314000000,34486000000
2020-09-30,282179000000,33288000000
2020-12-31,321195000000,33174000000
2021-03-31,323077000000,33227000000
2021-06-30,360319000000,51762000000
2021-09-30,382406000000,51376000000
2021-12-31,420549000000,50553000000
2022-03-31,410767000000,50553000000
2022-06-30,419728000000,63435000000
2022-09-30,428362000000,63541000000
2022-12-31,462675000000,70542000000
2023-03-31,464378000000,69472000000
2023-06-30,477607000000,67472000000
2023-09-30,486883000000,67472000000
