Time,grossProfit,totalRevenue,costOfRevenue,operatingIncome,operatingExpenses,interestAndDebtExpense,ebit
2010-09-30,739000000,1562000000,1131000000,128000000,667000000,56000000,128000000
2010-12-31,743000000,1610000000,873000000,413000000,358000000,39000000,413000000
2011-03-31,691000000,1565000000,1183000000,54000000,676000000,48000000,560000000
2011-06-30,720000000,1527000000,1093000000,105000000,653000000,47000000,111000000
2011-09-30,756000000,1648000000,1183000000,138000000,652000000,42000000,134000000
2011-12-31,773000000,1648000000,1259000000,71000000,742000000,43000000,-138000000
2012-03-31,27000000,1542000000,1859000000,-580000000,712000000,43000000,-579000000
2012-06-30,638000000,1370000000,987000000,77000000,600000000,43000000,74000000
2012-09-30,392000000,1225000000,1068000000,-131000000,563000000,44000000,-113000000
2012-12-31,178000000,1110000000,1260000000,-422000000,641000000,45000000,-424000000
2013-03-31,445000000,1092000000,935000000,-98000000,600000000,44000000,-100000000
2013-06-30,459000000,1119000000,882000000,-29000000,530000000,42000000,-29000000
2013-09-30,521000000,1414000000,1078000000,95000000,473000000,47000000,98000000
2013-12-31,553000000,1545000000,1209000000,135000000,510000000,44000000,134000000
2014-03-31,487000000,1365000000,1119000000,49000000,520000000,32000000,29000000
2014-06-30,498000000,1395000000,1101000000,63000000,481000000,46000000,14000000
2014-09-30,494000000,1386000000,1088000000,63000000,431000000,43000000,62000000
2014-12-31,360000000,1198000000,1260000000,-330000000,619000000,41000000,-326000000
2015-03-31,326000000,990000000,881000000,-137000000,419000000,40000000,-137000000
2015-06-30,232000000,902000000,844000000,-137000000,369000000,40000000,-140000000
2015-09-30,239000000,1022000000,930000000,-158000000,349000000,39000000,-158000000
2015-12-31,283000000,917000000,784000000,-49000000,338000000,41000000,-51000000
2016-03-31,269000000,799000000,668000000,-68000000,347000000,40000000,-68000000
2016-06-30,319000000,1012000000,825000000,-8000000,360000000,41000000,139000000
2016-09-30,59000000,1290000000,1365000000,-293000000,376000000,41000000,-361000000
2016-12-31,351000000,1103000000,876000000,-3000000,385000000,34000000,-12000000
2017-03-31,378000000,1178000000,800000000,11000000,387000000,32000000,4000000
2017-06-30,386000000,1151000000,765000000,-1000000,404000000,32000000,-7000000
2017-09-30,571000000,1584000000,1013000000,119000000,447000000,31000000,114000000
2017-12-31,452000000,1449000000,1098000000,-2000000,433000000,31000000,-2000000
2018-03-31,597000000,1615000000,1184000000,120000000,477000000,32000000,120000000
2018-06-30,652000000,1725000000,1246000000,153000000,499000000,31000000,153000000
2018-09-30,661000000,1623000000,1140000000,150000000,511000000,24000000,144000000
2018-12-31,537000000,1390000000,1020000000,28000000,509000000,29000000,32000000
2019-03-31,521000000,1291000000,921000000,38000000,549000000,35000000,30000000
2019-06-30,621000000,1506000000,1099000000,59000000,562000000,25000000,62000000
2019-09-30,777000000,1737000000,1209000000,186000000,591000000,64000000,151000000
2019-12-31,949000000,2109000000,1384000000,348000000,601000000,18000000,223000000
2020-03-31,818000000,1755000000,1167000000,177000000,659000000,13000000,181000000
2020-06-30,848000000,1918000000,1299000000,173000000,675000000,14000000,175000000
2020-09-30,1230000000,2790000000,1844000000,449000000,781000000,11000000,413000000
2020-12-31,1451000000,3235000000,2101000000,570000000,881000000,9000000,558000000
2021-03-31,1587000000,3422000000,2272000000,662000000,1032000000,15000000,653000000
2021-06-30,1830000000,3840000000,2361000000,831000000,1000000000,10000000,833000000
2021-09-30,2086000000,4306000000,2603000000,948000000,1141000000,7000000,1012000000
2021-12-31,2426000000,4845000000,2930000000,1207000000,1356000000,8000000,1211000000
2022-03-31,2818000000,5859000000,4275000000,951000000,2281000000,13000000,912000000
2022-06-30,3028000000,6525000000,4114000000,526000000,1892000000,25000000,526000000
2022-09-30,2354000000,5534000000,3768000000,-64000000,1836000000,31000000,-38000000
2022-12-31,2403000000,5732000000,5006000000,-149000000,3177000000,19000000,-114000000
2023-03-31,2359000000,5353000000,2994000000,-145000000,2504000000,None,-101000000
2023-06-30,2443000000,5331000000,4156000000,-20000000,2683000000,28000000,32000000
2023-09-30,2747000000,5774000000,4289000000,224000000,2743000000,26000000,286000000
