Time,totalAssets,longTermDebt
2009-09-30,81612000000,3746000000
2009-12-31,82096000000,3746000000
2010-03-31,84910000000,3746000000
2010-06-30,86113000000,4900000000
2010-09-30,91540000000,9700000000
2010-12-31,92306000000,9700000000
2011-03-31,99727000000,11900000000
2011-06-30,108704000000,11900000000
2011-09-30,107415000000,11900000000
2011-12-31,112243000000,11900000000
2012-03-31,118010000000,22626000000
2012-06-30,121271000000,11900000000
2012-09-30,121876000000,12000000000
2012-12-31,128683000000,14200000000
2013-03-31,134105000000,14200000000
2013-06-30,142431000000,15600000000
2013-09-30,142348000000,14600000000
2013-12-31,153543000000,22700000000
2014-03-31,156119000000,22700000000
2014-06-30,172384000000,20600000000
2014-09-30,169656000000,20200000000
2014-12-31,174848000000,20000000000
2015-03-31,176683000000,30100000000
2015-06-30,174472000000,30300000000
2015-09-30,172896000000,28600000000
2015-12-31,180098000000,41400000000
2016-03-31,181869000000,40900000000
2016-06-30,193468000000,40600000000
2016-09-30,212524000000,60200000000
2016-12-31,224610000000,59900000000
2017-03-31,225017000000,76800000000
2017-06-30,250312000000,77100000000
2017-09-30,249097000000,77300000000
2017-12-31,256003000000,76800000000
2018-03-31,245497000000,76900000000
2018-06-30,258848000000,76200000000
2018-09-30,257619000000,76200000000
2018-12-31,258859000000,73200000000
2019-03-31,263281000000,73100000000
2019-06-30,286556000000,72178000000
2019-09-30,278955000000,69495000000
2019-12-31,282794000000,69608000000
2020-03-31,285449000000,66610000000
2020-06-30,301311000000,63327000000
2020-09-30,301001000000,63552000000
2020-12-31,304137000000,60523000000
2021-03-31,308879000000,58058000000
2021-06-30,333779000000,58146000000
2021-09-30,335418000000,53288000000
2021-12-31,340389000000,53258000000
2022-03-31,344607000000,49926000000
2022-06-30,364840000000,49781000000
2022-09-30,359784000000,48622000000
2022-12-31,364552000000,48116000000
2023-03-31,380088000000,48210000000
2023-06-30,411976000000,47237000000
2023-09-30,445785000000,45694000000
