Time,grossProfit,totalRevenue,costOfRevenue,operatingIncome,operatingExpenses,interestAndDebtExpense,ebit
2008-09-30,4018000000,16258000000,12662000000,-3423000000,14007000000,None,6616000000
2008-12-31,-56584000000,5646000000,62179000000,-32094000000,24642000000,None,-17361000000
2009-03-31,14211000000,24521000000,10578000000,1610000000,11685000000,None,10085000000
2009-06-30,5121000000,29969000000,24848000000,-6878000000,11999000000,6842000000,12028000000
2009-09-30,-853000000,20390000000,21243000000,-12677000000,11824000000,6680000000,5659000000
2009-12-31,5405000000,5405000000,20743000000,-6909000000,12314000000,6542000000,-8209000000
2010-03-31,4963000000,25421000000,20458000000,-6555000000,11518000000,6291000000,11755000000
2010-06-30,3256000000,22071000000,18815000000,-8610000000,11866000000,6379000000,9938000000
2010-09-30,3098000000,20738000000,17640000000,-8422000000,11520000000,6125000000,9049000000
2010-12-31,18371000000,18371000000,17586000000,5900000000,12471000000,6069000000,7138000000
2011-03-31,3981000000,19726000000,15745000000,-8345000000,12326000000,5976000000,10237000000
2011-06-30,4067000000,20622000000,16555000000,-8869000000,12936000000,6438000000,10746000000
2011-09-30,4804000000,20831000000,16027000000,-7656000000,12460000000,6031000000,11080000000
2011-12-31,17174000000,17174000000,18577000000,3963000000,13211000000,5712000000,6734000000
2012-03-31,1315000000,19121000000,18091000000,-11004000000,12179000000,5590000000,9518000000
2012-06-30,3367000000,18387000000,15275000000,-8767000000,11994000000,5441000000,9007000000
2012-09-30,-4700000000,13703000000,18651000000,-16920000000,12092000000,5021000000,4000000000
2012-12-31,18174000000,17917000000,19506000000,4329000000,13709000000,4628000000,5647000000
2013-03-31,5075000000,20248000000,15416000000,-7323000000,12288000000,4281000000,9708000000
2013-06-30,5950000000,20488000000,14529000000,-6190000000,12149000000,4158000000,10467000000
2013-09-30,4126000000,17904000000,13754000000,-7529000000,11679000000,3952000000,8259000000
2013-12-31,17780000000,17779000000,2072000000,5487000000,12293000000,3737000000,7282000000
2014-03-31,5766000000,20206000000,14358000000,-6383000000,12149000000,3591000000,9666000000
2014-06-30,1878000000,19425000000,17464000000,-13643000000,15521000000,3615000000,5717000000
2014-09-30,4489000000,19689000000,15115000000,-8466000000,12955000000,3325000000,8234000000
2014-12-31,15799000000,17899000000,2013000000,1373000000,14426000000,3159000000,4580000000
2015-03-31,6527000000,19736000000,13209000000,-4357000000,10884000000,3028000000,9918000000
2015-06-30,6532000000,19470000000,12938000000,-4396000000,10928000000,3051000000,9933000000
2015-09-30,5794000000,18692000000,12898000000,-4875000000,10669000000,2941000000,9113000000
2015-12-31,4808000000,18456000000,13648000000,4808000000,2537000000,2901000000,7639000000
2016-03-31,4899000000,17555000000,12656000000,-3812000000,8711000000,2940000000,7920000000
2016-06-30,5721000000,17548000000,11827000000,-2240000000,7961000000,3120000000,8841000000
2016-09-30,5585000000,17760000000,12175000000,-2339000000,7924000000,3174000000,8747000000
2016-12-31,5100000000,17012000000,11912000000,5100000000,9398000000,3277000000,8360000000
2017-03-31,5951000000,18366000000,12169000000,-2275000000,8226000000,3566000000,9519000000
2017-06-30,5655000000,18155000000,12246000000,-2534000000,8189000000,4036000000,9703000000
2017-09-30,5975000000,18419000000,12198000000,-2113000000,8088000000,4379000000,10378000000
2017-12-31,5099000000,17504000000,-29162000000,5099000000,9389000000,4536000000,9508000000
2018-03-31,17015000000,18872000000,1857000000,-2503000000,8567000000,5160000000,11221000000
2018-06-30,16657000000,18469000000,1812000000,3146000000,2778000000,5885000000,11819000000
2018-09-30,16415000000,18389000000,1974000000,3329000000,2749000000,6368000000,12461000000
2018-12-31,15199000000,17124000000,1925000000,5306000000,4379000000,6853000000,12167000000
2019-03-31,16596000000,18576000000,1980000000,3349000000,2651000000,7317000000,13302000000
2019-06-30,16665000000,18758000000,2093000000,3419000000,2727000000,7762000000,13934000000
2019-09-30,16486000000,18574000000,2088000000,3264000000,2741000000,7536000000,13528000000
2019-12-31,16156000000,18378000000,2222000000,16156000000,3378000000,6548000000,11449000000
2020-03-31,13996000000,20956000000,6960000000,11033000000,2671000000,5647000000,8763000000
2020-06-30,11839000000,20036000000,8197000000,9261000000,2602000000,3509000000,4617000000
2020-09-30,15293000000,17677000000,2384000000,12336000000,2704000000,2821000000,6744000000
2020-12-31,16878000000,16832000000,-46000000,16545000000,3441000000,2564000000,6786000000
2021-03-31,9681000000,19667000000,9646000000,6914000000,2767000000,2368000000,12302000000
2021-06-30,7393000000,17753000000,10081000000,4600000000,2793000000,2264000000,9333000000
2021-09-30,5836000000,17447000000,11318000000,2877000000,2959000000,2252000000,7796000000
2021-12-31,3485000000,17017000000,13532000000,3485000000,3636000000,1097000000,5953000000
2022-03-31,5734000000,19186000000,13452000000,2329000000,3405000000,2280000000,7527000000
2022-06-30,5839000000,19638000000,13799000000,2738000000,3101000000,3666000000,9395000000
2022-09-30,4406000000,18508000000,14102000000,1297000000,3109000000,7356000000,11714000000
2022-12-31,3228000000,18006000000,14778000000,-1555000000,4783000000,12438000000,15591000000
2023-03-31,8134000000,21447000000,13313000000,5078000000,3056000000,16047000000,22184000000
2023-06-30,5852000000,19436000000,13584000000,2587000000,3265000000,18747000000,22752000000
2023-09-30,6603000000,20139000000,13536000000,3403000000,3200000000,21009000000,25758000000
