Time,grossProfit,totalRevenue,costOfRevenue,operatingIncome,operatingExpenses,interestAndDebtExpense,ebit
2011-06-30,0,634795000,183801000,136923000,0,None,0
2011-09-30,0,690856000,200332000,129618000,0,None,0
2011-12-31,0,1048076000,297956000,335788000,0,None,0
2012-03-31,2252640000,806106000,245104000,215456000,0,None,0
2012-06-30,0,1069259000,309460000,369117000,0,None,0
2012-09-30,0,1198116000,350227000,382856000,0,None,0
2012-12-31,0,1880713000,438690000,846878000,0,None,0
2013-03-31,1029201191,1395543399,366342208,716273831,-259995173,None,716273831
2013-06-30,8051000000,10778000000,2727000000,5420000000,2631000000,None,6127000000
2013-09-30,7949000000,10950000000,3001000000,5248000000,2657000000,None,5999000000
2013-12-31,14574000000,18745000000,4171000000,8801000000,5773000000,None,9645000000
2014-03-31,8561000000,12031000000,3470000000,5451000000,2858000000,None,7270000000
2014-06-30,11186000000,15771000000,4585000000,6844000000,4284000000,None,14383000000
2014-09-30,11233000000,16829000000,5596000000,4345000000,6888000000,None,5191000000
2014-12-31,18659000000,26179000000,7520000000,9347000000,9137000000,None,10736000000
2015-03-31,11292000000,17425000000,6133000000,2599000000,8693000000,None,4941000000
2015-06-30,13534000000,20245000000,6711000000,5161000000,8373000000,None,33094000000
2015-09-30,15040000000,22171000000,7131000000,6395000000,8645000000,None,24974000000
2015-12-31,23592000000,34543000000,10951000000,12434000000,10703000000,None,17440000000
2016-03-31,14622000000,24184000000,9562000000,5112000000,9510000000,None,8361000000
2016-06-30,20410000000,32154000000,11744000000,8814000000,11596000000,None,11327000000
2016-09-30,21169000000,34292000000,13123000000,9045000000,12124000000,None,10332000000
2016-12-31,34122000000,53248000000,19126000000,20664000000,13458000000,None,24516000000
2017-03-31,23089000000,38579000000,15490000000,9532000000,13557000000,None,16525000000
2017-06-30,32724000000,50184000000,17460000000,17513000000,15211000000,None,20872000000
2017-09-30,33120000000,55122000000,22002000000,16584000000,16536000000,None,21756000000
2017-12-31,47950000000,83028000000,35078000000,25996000000,21460000000,None,49785000000
2018-03-31,29428000000,61932000000,32504000000,9221000000,20207000000,None,12050000000
2018-06-30,29428000000,61932000000,32504000000,9221000000,20207000000,None,12050000000
2018-09-30,38362000000,85148000000,46786000000,13501000000,24861000000,None,18604000000
2018-12-31,56465000000,117278000000,60813000000,26798000000,29667000000,None,38745000000
2019-03-31,37888000000,93498000000,55610000000,8765000000,29123000000,None,28879000000
2019-06-30,54937000000,114924000000,59987000000,24375000000,30562000000,None,26663000000
2019-09-30,53471000000,119017000000,65546000000,20364000000,32531000000,None,87459000000
2019-12-31,77124000000,161456000000,84332000000,39560000000,37564000000,None,57683000000
2020-03-31,41812000000,114314000000,72502000000,7131000000,34681000000,None,8311000000
2020-06-30,41812000000,114314000000,72502000000,7131000000,34681000000,None,8311000000
2020-09-30,65099000000,155059000000,89960000000,13634000000,51465000000,None,25292000000
2020-12-31,99816000000,221084000000,121268000000,49002000000,50814000000,None,91864000000
2021-03-31,61941000000,187395000000,125454000000,-7663000000,50796000000,None,55431000000
2021-06-30,81643000000,205740000000,124097000000,30847000000,69604000000,None,2843000000
2021-09-30,70940000000,200690000000,129750000000,15006000000,55934000000,None,24298000000
2021-12-31,95922000000,242580000000,146658000000,7068000000,63713000000,None,31285000000
2022-03-31,65107000000,204052000000,138945000000,16717000000,48390000000,None,23860000000
2022-06-30,65107000000,204052000000,138945000000,16717000000,48390000000,None,16717000000
2022-09-30,75966000000,207176000000,131210000000,25137000000,50829000000,None,25137000000
2022-12-31,97751000000,247756000000,150005000000,54723000000,60006000000,None,54723000000
2023-03-31,69377000000,208200000000,138823000000,15240000000,192960000000,None,27044000000
2023-06-30,91809000000,234156000000,142347000000,44521000000,189635000000,None,27044000000
2023-09-30,85126000000,224790000000,139664000000,33584000000,51542000000,None,40111000000
