Time,operatingCashflow
2015-09-30,6145000000
2015-12-31,6609000000
2016-03-31,7658000000
2016-06-30,9120000000
2016-09-30,9845000000
2016-12-31,9413000000
2017-03-31,9548000000
2017-06-30,7403000000
2017-09-30,9872000000
2017-12-31,10268000000
2018-03-31,11642000000
2018-06-30,10132000000
2018-09-30,13210000000
2018-12-31,12987000000
2019-03-31,12000000000
2019-06-30,12627000000
2019-09-30,15466000000
2019-12-31,14427000000
2020-03-31,11451000000
2020-06-30,13993000000
2020-09-30,17003000000
2020-12-31,22677000000
2021-03-31,19289000000
2021-06-30,21890000000
2021-09-30,25539000000
2021-12-31,24934000000
2022-03-31,25106000000
2022-06-30,19422000000
2022-09-30,23353000000
2022-12-31,23614000000
2023-03-31,23509000000
2023-06-30,28666000000
2023-09-30,30656000000
