Time,grossProfit,totalRevenue,costOfRevenue,operatingIncome,operatingExpenses,interestAndDebtExpense,ebit
2010-03-31,3852000,20812000,16960000,-25998000,29850000,None,-25998000
2010-06-30,6261000,28405000,22144000,-31362000,37623000,None,-38044000
2010-09-30,9296000,31241000,21945000,-37834000,47130000,None,-37834000
2010-12-31,11321000,36286000,24965000,-51645000,62966000,None,-51645000
2011-03-31,18028000,49030000,31002000,-47346000,65374000,None,-47346000
2011-06-30,18508000,58171000,39663000,-58739000,77247000,1200000,-58739000
2011-09-30,17224000,57666000,40442000,-64477000,81701000,1300000,-64477000
2011-12-31,7835000,39375000,31540000,-80927000,88762000,-3257000,-80927000
2012-03-31,10210000,30167000,19957000,-88763000,98973000,65000,-89749000
2012-06-30,4762000,26653000,21891000,-106175000,110937000,84000,-105410000
2012-09-30,-8761000,50104000,58865000,-108460000,99699000,78000,-110610000
2012-12-31,23857000,306332000,282475000,-90883000,114740000,26000,-90054000
2013-03-31,96320000,561792000,465472000,-5584000,101904000,118000,11517000
2013-06-30,100483000,405139000,304656000,-11792000,112275000,20116000,-10085000
2013-09-30,102868000,431346000,328478000,-30554000,133422000,6492000,-31226000
2013-12-31,156590000,615219000,458630000,-13353000,169942000,6229000,-8677000
2014-03-31,155128000,620542000,465414000,-43967000,199095000,11883000,-37108000
2014-06-30,212995000,769349000,556354000,-28753000,241748000,31238000,-29512000
2014-09-30,251851000,851804000,599953000,-39129000,290980000,29062000,-41919000
2014-12-31,261697000,956661000,694964000,-74838000,336535000,28703000,-75208000
2015-03-31,260073000,939880000,679807000,-102446000,362519000,26574000,-124567000
2015-06-30,213370000,954976000,741606000,-170188000,383558000,24352000,-156708000
2015-09-30,231496000,936789000,705293000,-183662000,415158000,29308000,-198766000
2015-12-31,218564000,1214379000,995816000,-260333000,478897000,38617000,-276732000
2016-03-31,252468000,1147048000,894580000,-248224000,500692000,40625000,-237796000
2016-06-30,274776000,1270017000,995241000,-238040000,512816000,46368000,-243171000
2016-09-30,636735000,2298436000,1661701000,85622000,551113000,46713000,76724000
2016-12-31,435278000,2284631000,1849353000,-266698000,701976000,65104000,-45163000
2017-03-31,667946000,2696270000,2028324000,-257549000,925495000,99346000,-205653000
2017-06-30,666615000,2789557000,2122942000,-240916000,907531000,108441000,-212309000
2017-09-30,449140000,2984675000,2535535000,-535480000,984620000,117109000,-502552000
2017-12-31,438786000,3288249000,2849199000,-598055000,1037354000,146363000,-537886000
2018-03-31,456000000,3409000000,2952225000,-596974000,1053500000,149546000,-553849000
2018-06-30,619000000,4002000000,3383301000,-621392000,1240322000,163582000,-540711000
2018-09-30,1524000000,6824000000,5300000000,416000000,1108000000,175220000,503000000
2018-12-31,1443000000,7226000000,5783000000,414000000,1029000000,174723000,337000000
2019-03-31,566000000,4541000000,3975000000,-522000000,1088000000,157453000,-521000000
2019-06-30,921000000,6350000000,5429000000,-167000000,1088000000,171979000,-217000000
2019-09-30,1191000000,6303000000,5112000000,261000000,930000000,185000000,354000000
2019-12-31,1391000000,7384000000,5993000000,359000000,1032000000,170000000,317000000
2020-03-31,1234000000,5985000000,4751000000,283000000,951000000,169000000,187000000
2020-06-30,1267000000,6036000000,4769000000,327000000,940000000,170000000,295000000
2020-09-30,2063000000,8771000000,6708000000,809000000,1254000000,163000000,680000000
2020-12-31,2066000000,10744000000,8678000000,575000000,1491000000,351000000,599000000
2021-03-31,2215000000,10389000000,8174000000,594000000,1621000000,99000000,606000000
2021-06-30,2884000000,11958000000,9074000000,1312000000,1572000000,75000000,1332000000
2021-09-30,3660000000,13757000000,10097000000,2004000000,1656000000,126000000,1967000000
2021-12-31,4847000000,17719000000,12872000000,2613000000,2234000000,71000000,2684000000
2022-03-31,5460000000,18756000000,13296000000,3603000000,1857000000,61000000,3725000000
2022-06-30,4234000000,16934000000,12700000000,2464000000,1770000000,44000000,2508000000
2022-09-30,5382000000,21454000000,16072000000,3688000000,1694000000,53000000,3650000000
2022-12-31,5777000000,24318000000,18541000000,3901000000,1876000000,33000000,3996000000
2023-03-31,4511000000,23329000000,18818000000,2664000000,1847000000,29000000,2803000000
2023-06-30,4533000000,24927000000,20394000000,2399000000,2134000000,28000000,3054000000
2023-09-30,4178000000,23350000000,19172000000,1764000000,2414000000,38000000,2058000000
