Time,operatingCashflow
2008-07-31,53075000
2008-10-31,17121000
2009-01-31,75529000
2009-04-30,97976000
2009-07-31,45855000
2009-10-31,35520000
2010-01-31,91560000
2010-04-30,143183000
2010-07-31,76096000
2010-10-31,74040000
2011-01-31,165762000
2011-04-30,139518000
2011-07-31,82933000
2011-10-31,128709000
2012-01-31,240347000
2012-04-30,213212000
2012-07-31,136197000
2012-10-31,105915000
2013-01-31,281573000
2013-04-30,283189000
2013-07-31,183183000
2013-10-31,137859000
2014-01-31,271238000
2014-04-30,473087000
2014-07-31,245893000
2014-10-31,122511000
2015-01-31,339953000
2015-04-30,735081000
2015-07-31,304278000
2015-10-31,162514000
2016-01-31,470208000
2016-04-30,1051062000
2016-07-31,250678000
2016-10-31,154312000
2017-01-31,705948000
2017-04-30,1230000000
2017-07-31,331000000
2017-10-31,125000000
2018-01-31,1052000000
2018-04-30,1466000000
2018-07-31,458000000
2018-10-31,143000000
2019-01-31,1331000000
2019-04-30,1965000000
2019-07-31,436000000
2019-10-31,298000000
2020-01-31,1632000000
2020-04-30,1859000000
2020-07-31,429000000
2020-10-31,339000000
2021-01-31,2174000000
2021-04-30,3228000000
2021-07-31,386000000
2021-10-31,404000000
2022-01-31,1982000000
2022-04-30,3676000000
2022-07-31,334000000
2022-10-31,313000000
2023-01-31,2788000000
2023-04-30,4491000000
2023-07-31,808000000
2023-10-31,1532000000
