Time,totalAssets,longTermDebt
2009-06-30,889544000000,205482000000
2009-09-30,882185000000,204305000000
2009-12-31,848942000000,196288000000
2010-03-31,880528000000,193609000000
2010-06-30,883188000000,190984000000
2010-09-30,908679000000,197067000000
2010-12-31,911332000000,174399000000
2011-03-31,933289000000,173793000000
2011-06-30,936910000000,175210000000
2011-09-30,948909000000,425829000000
2011-12-31,923225000000,416179000000
2012-03-31,950932000000,410126000000
2012-06-30,948638000000,401788000000
2012-09-30,949207000000,402813000000
2012-12-31,938555000000,399470000000
2013-03-31,959223000000,167008000000
2013-06-30,938456000000,383982000000
2013-09-30,923223000000,32841000000
2013-12-31,911124000000,218303000000
2014-03-31,915665000000,38976000000
2014-06-30,859914000000,42151000000
2014-09-30,868531000000,222563000000
2014-12-31,855842000000,221431000000
2015-03-31,865045000000,219834000000
2015-06-30,859454000000,232240000000
2015-09-30,880559000000,234137000000
2015-12-31,861395000000,60311000000
2016-03-31,878036000000,242526000000
2016-06-30,896843000000,239465000000
2016-09-30,879987000000,246076000000
2016-12-31,860165000000,242241000000
2017-03-31,894069000000,251795000000
2017-06-30,906518000000,261664000000
2017-09-30,930132000000,270748000000
2017-12-31,916776000000,276982000000
2018-03-31,973535000000,282360000000
2018-06-30,968610000000,282387000000
2018-09-30,957190000000,281245000000
2018-12-31,931796000000,280631000000
2019-03-31,925349000000,284429000000
2019-06-30,944903000000,282432000000
2019-09-30,1007320000000,282276000000
2019-12-31,992968000000,267973000000
2020-03-31,1089756000000,281806000000
2020-06-30,1141523000000,280950000000
2020-09-30,1132059000000,274486000000
2020-12-31,1163028000000,271891000000
2021-03-31,1301548000000,276327000000
2021-06-30,1387922000000,295910000000
2021-09-30,1443230000000,291463000000
2021-12-31,1463988000000,298476000000
2022-03-31,1589441000000,306612000000
2022-06-30,1601224000000,299274000000
2022-09-30,1555994000000,288744000000
2022-12-31,1441799000000,305816000000
2023-03-31,1538349000000,298205000000
2023-06-30,1571386000000,295484000000
2023-09-30,1577153000000,289341000000
