Time,operatingCashflow
2009-06-30,52503000000
2009-09-30,7625000000
2009-12-31,11913000000
2010-03-31,17394000000
2010-06-30,28333000000
2010-09-30,-50590000000
2010-12-31,1111000000
2011-03-31,-5979000000
2011-06-30,64704000000
2011-09-30,7793000000
2011-12-31,29414000000
2012-03-31,4266000000
2012-06-30,41983000000
2012-09-30,-16659000000
2012-12-31,-4511000000
2013-03-31,19964000000
2013-06-30,68520000000
2013-09-30,26383000000
2013-12-31,-6914000000
2014-03-31,14667000000
2014-06-30,-4371000000
2014-09-30,-2449000000
2014-12-31,28746000000
2015-03-31,14879000000
2015-06-30,17296000000
2015-09-30,25124000000
2015-12-31,16167000000
2016-03-31,-21383000000
2016-06-30,-1524000000
2016-09-30,4192000000
2016-12-31,40599000000
2017-03-31,-22559000000
2017-06-30,4073000000
2017-09-30,-4895000000
2017-12-31,12554000000
2018-03-31,-35109000000
2018-06-30,35685000000
2018-09-30,13189000000
2018-12-31,1849000000
2019-03-31,-80880000000
2019-06-30,-13854000000
2019-09-30,16015000000
2019-12-31,82811000000
2020-03-31,-120089000000
2020-06-30,82919000000
2020-09-30,-14688000000
2020-12-31,-28052000000
2021-03-31,-43872000000
2021-06-30,13530000000
2021-09-30,23331000000
2021-12-31,85095000000
2022-03-31,-41917000000
2022-06-30,66018000000
2022-09-30,-18204000000
2022-12-31,101222000000
2023-03-31,-111241000000
2023-06-30,18865000000
2023-09-30,45119000000
