Time,operatingCashflow
2009-10-25,141317000
2010-01-31,69245000
2010-05-02,-5397000
2010-08-01,34344000
2010-10-31,212177000
2011-01-30,434673000
2011-05-01,172200000
2011-07-31,82021000
2011-10-30,244417000
2012-01-29,410518000
2012-04-29,-9208000
2012-07-29,200886000
2012-10-28,181485000
2013-01-27,451009000
2013-04-28,175650000
2013-07-28,96469000
2013-10-27,162315000
2014-01-26,400566000
2014-04-27,151000000
2014-07-27,96000000
2014-10-26,216000000
2015-01-25,443000000
2015-04-26,246000000
2015-07-26,163000000
2015-10-25,255000000
2016-01-31,511000000
2016-05-01,319000000
2016-07-31,201000000
2016-10-30,432000000
2017-01-29,721000000
2017-04-30,282000000
2017-07-30,705000000
2017-10-29,1157000000
2018-01-28,1358000000
2018-04-29,1445000000
2018-07-29,913000000
2018-10-28,487000000
2019-01-27,898000000
2019-04-28,720000000
2019-07-28,936000000
2019-10-27,1640000000
2020-01-26,1465000000
2020-04-26,909000000
2020-07-26,1567000000
2020-10-25,1279000000
2021-01-31,2067000000
2021-05-02,1874000000
2021-08-01,2682000000
2021-10-31,1519000000
2022-01-30,3033000000
2022-05-01,1731000000
2022-07-31,1270000000
2022-10-30,392000000
2023-01-29,2248000000
2023-04-30,2911000000
2023-07-30,6348000000
2023-10-29,7332000000
