Time,operatingCashflow
2008-06-30,-2806000000
2008-09-30,2688000000
2008-12-31,973000000
2009-03-31,2043000000
2009-06-30,-1908000000
2009-09-30,1872000000
2009-12-31,1436000000
2010-03-31,2041000000
2010-06-30,-1750000000
2010-09-30,1431000000
2010-12-31,1045000000
2011-03-31,2062000000
2011-06-30,-1583000000
2011-09-30,2085000000
2011-12-31,1049000000
2012-03-31,1837000000
2012-06-30,-1922000000
2012-09-30,2205000000
2012-12-31,1783000000
2013-03-31,1793000000
2013-06-30,-1223000000
2013-09-30,1396000000
2013-12-31,1399000000
2014-03-31,2125000000
2014-06-30,1258000000
2014-09-30,1397000000
2014-12-31,-2818000000
2015-03-31,2498000000
2015-06-30,-1251000000
2015-09-30,2843000000
2015-12-31,1753000000
2016-03-31,2718000000
2016-06-30,-1630000000
2016-09-30,2442000000
2016-12-31,296000000
2017-03-31,2675000000
2017-06-30,-730000000
2017-09-30,2199000000
2017-12-31,757000000
2018-03-31,2809000000
2018-06-30,1041000000
2018-09-30,2716000000
2018-12-31,1825000000
2019-03-31,2289000000
2019-06-30,103000000
2019-09-30,2882000000
2019-12-31,2563000000
2020-03-31,3129000000
2020-06-30,1817000000
2020-09-30,898000000
2020-12-31,2541000000
2021-03-31,3040000000
2021-06-30,-361000000
2021-09-30,3063000000
2021-12-31,2663000000
2022-03-31,3075000000
2022-06-30,-514000000
2022-09-30,3076000000
2022-12-31,2619000000
2023-03-31,2984000000
2023-06-30,124000000
2023-09-30,2952000000
