Time,Open,High,Low,Close,Volume,Percentage Change
2021-11-24,89.8100,91.1100,89.6100,90.0300,5066513,89.0300
2021-11-26,88.9100,89.0000,88.0300,88.6800,2668776,-0.0150
2021-11-29,88.1100,88.7100,86.7200,87.3500,7245604,-0.0150
2021-11-30,86.2800,86.9600,85.6400,85.9400,7378479,-0.0161
2021-12-01,86.9800,88.8100,86.6600,86.8700,6109916,0.0108
2021-12-02,87.6400,88.8800,87.3200,87.8400,5763092,0.0112
2021-12-03,88.6300,89.5100,87.9500,89.3800,7368226,0.0175
2021-12-06,90.0600,91.7950,90.0101,91.3900,6774302,0.0225
2021-12-07,91.3600,92.2300,90.2700,90.4100,6150957,-0.0107
2021-12-08,90.8200,91.0250,89.5500,89.8900,5111119,-0.0058
2021-12-09,89.5400,90.1700,89.2100,89.5000,4594053,-0.0043
2021-12-10,89.8500,90.5700,89.8500,90.0400,4886134,0.0060
2021-12-13,89.8600,92.3100,89.6700,91.6700,8055657,0.0181
2021-12-14,91.4300,92.6000,90.7500,91.9200,10371671,0.0027
2021-12-15,92.0000,93.2000,91.8065,92.7300,6460817,0.0088
2021-12-16,92.8300,94.5700,92.7500,94.3800,6832450,0.0178
2021-12-17,93.9200,94.6500,92.9500,93.4500,10281290,-0.0099
2021-12-20,92.8100,92.9700,91.7700,92.8600,4284486,-0.0063
2021-12-21,93.5100,93.7800,92.8800,93.0400,4583522,0.0019
2021-12-22,91.6100,92.9500,91.4163,92.9100,4877602,-0.0014
2021-12-23,93.0000,93.5000,92.6400,92.9300,2926795,0.0002
2021-12-27,92.8700,93.5600,92.6100,93.5400,2036604,0.0066
2021-12-28,93.3900,94.1500,93.2900,93.8600,2622446,0.0034
2021-12-29,93.9500,94.6900,93.7500,94.3000,3238647,0.0047
2021-12-30,94.4600,94.7200,94.2100,94.2600,2973831,-0.0004
2021-12-31,94.2100,95.1850,94.0500,95.0000,3178129,0.0079
2022-01-03,94.8900,95.8000,94.4400,95.7300,4790351,0.0077
2022-01-04,95.7700,96.9400,95.5300,96.3400,5372424,0.0064
2022-01-05,96.0000,97.0700,95.4857,95.9500,7180704,-0.0040
2022-01-06,96.9700,97.6400,96.1200,97.4100,6279573,0.0152
2022-01-07,97.3900,99.7300,97.0700,99.1400,4764557,0.0178
2022-01-10,99.7000,100.4000,98.7420,100.2800,7067358,0.0115
2022-01-11,100.1200,101.0200,99.0850,100.9900,6062756,0.0071
2022-01-12,100.9600,101.9100,100.1600,101.4400,4812218,0.0045
2022-01-13,101.3300,102.1300,100.8000,102.1000,6696796,0.0065
2022-01-14,102.1000,103.5400,101.4400,103.3800,5576146,0.0125
2022-01-18,103.2200,103.6000,101.4669,101.7300,5661978,-0.0160
2022-01-19,101.8100,102.3300,101.4200,101.4900,6012280,-0.0024
2022-01-20,101.0600,102.7800,100.6800,102.0200,5589711,0.0052
2022-01-21,102.6400,103.7493,102.3260,102.9200,5423683,0.0088
2022-01-24,102.4800,102.9900,98.8100,100.5800,8985617,-0.0227
2022-01-25,99.6800,102.6400,98.2700,102.1400,6006394,0.0155
2022-01-26,101.8100,102.8500,100.5700,101.3800,6340280,-0.0074
2022-01-27,102.1000,103.3000,101.4100,102.2500,7345939,0.0086
2022-01-28,102.0000,103.6900,101.3900,103.5200,5520338,0.0124
2022-01-31,102.4700,103.6400,102.3300,102.8500,8025751,-0.0065
2022-02-01,102.9000,103.6500,102.0200,103.2500,8047785,0.0039
2022-02-02,103.0000,104.1700,102.9100,103.9000,7527665,0.0063
2022-02-03,104.1000,104.1800,103.0400,103.8100,3815518,-0.0009
2022-02-04,103.4200,104.3600,102.7000,103.5900,6374667,-0.0021
2022-02-07,103.5900,104.1000,102.7000,103.5800,5195735,-0.0001
2022-02-08,104.0900,104.2600,103.4250,103.8500,5953126,0.0026
2022-02-09,104.2400,104.5400,103.7500,104.1000,4226048,0.0024
2022-02-10,104.6050,106.4400,103.9600,105.0700,7008271,0.0093
2022-02-11,105.0500,108.5700,104.9110,107.9600,8674290,0.0275
2022-02-14,108.0000,109.4200,107.7700,109.2400,9409866,0.0119
2022-02-15,109.3500,110.6300,109.0700,109.6700,6564541,0.0039
2022-02-16,109.6700,111.9700,109.3000,111.5700,8577209,0.0173
2022-02-17,110.6900,112.3307,110.6500,111.9000,6320545,0.0030
2022-02-18,111.5000,112.4800,111.1753,111.6100,7870543,-0.0026
2022-02-22,110.9200,111.1700,107.5400,108.5900,7060014,-0.0271
2022-02-23,109.1700,109.3800,108.0100,108.5900,5268226,0.0000
2022-02-24,106.1100,106.3300,101.1800,102.7900,10354990,-0.0534
2022-02-25,103.8000,105.9750,103.5300,105.2400,6634518,0.0238
2022-02-28,102.0800,102.7700,100.0700,101.0700,10381637,-0.0396
2022-03-01,101.0700,102.1600,100.4400,101.4400,5000511,0.0037
2022-03-02,101.4400,103.4900,101.0100,102.5400,5426278,0.0108
2022-03-03,101.6300,103.0900,101.6300,102.4800,4584606,-0.0006
2022-03-04,101.0400,101.0617,99.2500,99.8000,7054888,-0.0262
2022-03-07,97.3500,97.5900,92.4500,93.2000,14334096,-0.0661
2022-03-08,94.1900,96.3600,92.7000,93.9700,11529274,0.0083
2022-03-09,95.2200,96.0700,93.3500,93.8100,6427306,-0.0017
2022-03-10,92.9300,93.8300,91.6000,91.8900,8099488,-0.0205
2022-03-11,92.2700,92.4200,88.7600,88.8700,8629831,-0.0329
2022-03-14,89.8900,90.5800,88.3700,89.5900,16030340,0.0081
2022-03-15,91.3300,92.9450,90.6100,92.6600,8224694,0.0343
2022-03-16,93.0000,94.5000,92.8300,93.7700,6299249,0.0120
2022-03-17,93.5000,93.8500,92.9300,93.3300,6728843,-0.0047
2022-03-18,94.1900,94.7000,93.2150,93.9000,9503442,0.0061
2022-03-21,94.5500,95.0000,93.3900,94.1400,4589644,0.0026
2022-03-22,94.2900,95.4200,93.5100,93.6500,5850248,-0.0052
2022-03-23,92.7200,93.1350,91.1600,91.2500,5038798,-0.0256
2022-03-24,91.4500,93.0800,91.3300,92.5800,4587080,0.0146
2022-03-25,92.2500,93.4800,92.0400,93.4500,3156022,0.0094
2022-03-28,92.8200,93.2000,91.0000,92.0700,4097256,-0.0148
2022-03-29,92.1600,93.6300,92.1100,93.6300,6964579,0.0169
2022-03-30,93.6900,93.9750,92.8000,93.9400,3935187,0.0033
2022-03-31,93.7800,94.5800,93.5100,93.9400,6599298,0.0000
2022-04-01,94.9600,96.9500,94.5900,96.7800,5686989,0.0302
2022-04-04,95.9900,96.5700,95.4000,96.2800,5176743,-0.0052
2022-04-05,95.4100,97.0295,95.4100,95.6600,3364009,-0.0064
2022-04-06,96.7800,99.1100,95.5100,99.0200,7381596,0.0351
2022-04-07,98.0500,100.1300,97.9800,99.6700,8385548,0.0066
2022-04-08,100.0900,100.9500,99.8700,100.0700,5086322,0.0040
2022-04-11,100.8800,101.6600,99.5800,101.2400,7200278,0.0117
2022-04-12,101.0400,101.1500,99.8300,100.4900,5320225,-0.0074
2022-04-13,100.3200,101.5850,100.3200,101.2000,6708262,0.0071
2022-04-14,101.0000,102.0400,100.7600,101.7700,4370045,0.0056
2022-04-18,101.4900,102.2500,100.8800,101.0500,7424849,-0.0071
2022-04-19,101.1550,102.6900,100.6700,102.5800,6603888,0.0151
2022-04-20,102.2900,103.8800,102.2900,103.0500,5775282,0.0046
2022-04-21,103.3700,105.7400,101.9300,105.0600,5835639,0.0195
2022-04-22,105.1700,105.1950,102.5900,102.6900,4139888,-0.0226
2022-04-25,101.9300,102.7000,100.2400,102.5300,4580339,-0.0016
2022-04-26,102.5600,103.3036,102.1200,102.7700,4597281,0.0023
2022-04-27,103.1000,103.2700,101.6100,101.6900,4259584,-0.0105
2022-04-28,102.0000,103.1200,100.9500,102.4100,4399779,0.0071
2022-04-29,102.6200,102.9600,99.7900,100.0000,4911250,-0.0235
2022-05-02,101.3900,101.3900,96.4900,98.5700,7263640,-0.0143
2022-05-03,98.8900,99.5700,97.4250,98.9900,3839630,0.0043
2022-05-04,98.6900,100.6400,98.4200,100.5600,3538110,0.0159
2022-05-05,99.7800,101.5500,99.1350,99.7700,4072571,-0.0079
2022-05-06,98.9900,99.6300,97.9800,98.9400,3384446,-0.0083
2022-05-09,98.4700,102.0000,97.3400,99.8700,7282315,0.0094
2022-05-10,99.6000,100.5800,98.1300,98.8800,7091580,-0.0099
2022-05-11,99.5500,104.7300,99.5000,103.6200,8132131,0.0479
2022-05-12,104.0600,105.1900,101.7800,103.3700,7908601,-0.0024
2022-05-13,103.7900,104.8200,102.9450,104.4300,2816147,0.0103
2022-05-16,104.3600,106.6300,104.1200,105.9100,5423685,0.0142
2022-05-17,106.8200,106.9700,105.5100,106.3000,4199260,0.0037
2022-05-18,107.0000,107.0100,105.2000,106.1800,5819708,-0.0011
