Time,operatingCashflow
2009-08-31,709000000
2009-11-30,668000000
2010-02-28,512000000
2010-05-31,1275000000
2010-08-31,212000000
2010-11-30,435000000
2011-02-28,323000000
2011-05-31,842000000
2011-08-31,87000000
2011-11-30,510000000
2012-02-29,328000000
2012-05-31,899000000
2012-08-31,535000000
2012-11-30,710000000
2013-02-28,447000000
2013-05-31,1340000000
2013-08-31,618000000
2013-11-30,330000000
2014-02-28,737000000
2014-05-31,1328000000
2014-08-31,683000000
2014-11-30,864000000
2015-02-28,1791000000
2015-05-31,1342000000
2015-08-31,491000000
2015-11-30,545000000
2016-02-29,876000000
2016-05-31,1487000000
2016-08-31,788000000
2016-11-30,982000000
2017-02-28,1114000000
2017-05-31,962000000
2017-08-31,575000000
2017-11-30,1323000000
2018-02-28,787000000
2018-05-31,2270000000
2018-08-31,1301000000
2018-11-30,1524000000
2019-02-28,1068000000
2019-05-31,2010000000
2019-08-31,394000000
2019-11-30,912000000
2020-02-29,1180000000
2020-05-31,-1000000
2020-08-31,882000000
2020-11-30,2473000000
2021-02-28,1290000000
2021-05-31,2012000000
2021-08-31,1111000000
2021-11-30,2757000000
2022-02-28,169000000
2022-05-31,1151000000
2022-08-31,357000000
2022-11-30,1001000000
2023-02-28,2230000000
2023-05-31,2253000000
2023-08-31,-66000000
2023-11-30,2817000000
