Time,Open,High,Low,Close,Volume,Percentage Change
2021-11-24,1080.3900,1132.7700,1062.0000,1116.0000,22560238,1115.0000
2021-11-26,1099.4700,1108.7827,1081.0000,1081.9200,11680890,-0.0305
2021-11-29,1100.9900,1142.6700,1100.1900,1136.9900,19464467,0.0509
2021-11-30,1144.3700,1168.0000,1118.0000,1144.7600,27092038,0.0068
2021-12-01,1160.6950,1172.8399,1090.7600,1095.0000,22934698,-0.0435
2021-12-02,1099.0600,1113.0000,1056.6500,1084.6000,24371623,-0.0095
2021-12-03,1084.7900,1090.5753,1000.2100,1014.9700,30773995,-0.0642
2021-12-06,1001.5100,1021.6400,950.5000,1009.0100,27221037,-0.0059
2021-12-07,1044.2000,1057.6739,1026.8100,1051.7500,18694857,0.0424
2021-12-08,1052.7100,1072.3800,1033.0001,1068.9600,13968790,0.0164
2021-12-09,1060.6400,1062.4900,1002.3600,1003.8000,19812832,-0.0610
2021-12-10,1008.7500,1020.9797,982.5300,1017.0300,19888122,0.0132
2021-12-13,1001.0900,1005.0000,951.4200,966.4100,26198502,-0.0498
2021-12-14,945.0000,966.4100,930.0000,958.5100,23602090,-0.0082
2021-12-15,953.2100,978.7499,928.2501,975.9900,25056410,0.0182
2021-12-16,994.5000,994.9800,921.8500,926.9200,27590483,-0.0503
2021-12-17,914.7700,960.6599,909.0401,932.5700,33626754,0.0061
2021-12-20,910.7000,921.6884,893.3900,899.9400,18826671,-0.0350
2021-12-21,916.8700,939.5000,886.1200,938.5300,23839305,0.0429
2021-12-22,965.6600,1015.6599,957.0500,1008.8700,31211362,0.0749
2021-12-23,1006.8000,1072.9767,997.5600,1067.0000,30904429,0.0576
2021-12-27,1073.6700,1117.0000,1070.7152,1093.9400,23715273,0.0252
2021-12-28,1109.4900,1118.9999,1078.4200,1088.4700,20107969,-0.0050
2021-12-29,1098.6400,1104.0000,1064.1400,1086.1900,18718015,-0.0021
2021-12-30,1061.3300,1095.5500,1053.1500,1070.3400,15680313,-0.0146
2021-12-31,1073.4444,1081.9999,1054.5900,1056.7800,13466216,-0.0127
