Time,totalAssets,longTermDebt
2009-06-30,46054000000,5017000000
2009-09-30,47107000000,5028000000
2009-12-31,48671000000,5110000000
2010-03-31,47403000000,4419000000
2010-06-30,48444000000,4971000000
2010-09-30,54089000000,5003000000
2010-12-31,72921000000,15317000000
2011-03-31,76058000000,14095000000
2011-06-30,80090000000,13859000000
2011-09-30,81753000000,15790000000
2011-12-31,79974000000,15697000000
2012-03-31,83897000000,17740000000
2012-06-30,85149000000,16518000000
2012-09-30,86654000000,16522000000
2012-12-31,86174000000,16313000000
2013-03-31,88450000000,18796000000
2013-06-30,89511000000,17372000000
2013-09-30,89432000000,17367000000
2013-12-31,90055000000,20178000000
2014-03-31,91289000000,20191000000
2014-06-30,95489000000,20162000000
2014-09-30,96314000000,22635000000
2014-12-31,92023000000,22615000000
2015-03-31,91016000000,28127000000
2015-06-30,93538000000,28008000000
2015-09-30,93008000000,28641000000
2015-12-31,89996000000,30987000000
2016-03-31,91263000000,31946000000
2016-06-30,94094000000,34147000000
2016-09-30,93927000000,35136000000
2016-12-31,87270000000,33211000000
2017-03-31,91201000000,33723000000
2017-06-30,91146000000,35283000000
2017-09-30,90515000000,35702000000
2017-12-31,87896000000,34480000000
2018-03-31,93282000000,34162000000
2018-06-30,89593000000,32086000000
2018-09-30,86877000000,31864000000
2018-12-31,83216000000,30379000000
2019-03-31,88347000000,32697000000
2019-06-30,89996000000,32045000000
2019-09-30,87433000000,31504000000
2019-12-31,86381000000,31769000000
2020-03-31,94013000000,36736000000
2020-06-30,94689000000,42910000000
2020-09-30,97184000000,47010000000
2020-12-31,87296000000,40610000000
2021-03-31,89993000000,43050000000
2021-06-30,90194000000,40141000000
2021-09-30,90606000000,39842000000
2021-12-31,94354000000,39454000000
2022-03-31,94064000000,38091000000
2022-06-30,93169000000,37543000000
2022-09-30,92471000000,36191000000
2022-12-31,92763000000,36776000000
2023-03-31,97404000000,36945000000
2023-06-30,98456000000,36797000000
2023-09-30,97578000000,36256000000
