Time,operatingCashflow
2012-06-30,240000000
2012-09-30,250000000
2012-12-31,681000000
2013-03-31,719000000
2013-06-30,1322000000
2013-09-30,950000000
2013-12-31,1231000000
2014-03-31,1285000000
2014-06-30,1341000000
2014-09-30,1248000000
2014-12-31,3452000000
2015-03-31,1700000000
2015-06-30,1880000000
2015-09-30,2192000000
2015-12-31,4548000000
2016-03-31,3477000000
2016-06-30,3665000000
2016-09-30,4036000000
2016-12-31,4930000000
2017-03-31,5058000000
2017-06-30,5360000000
2017-09-30,6127000000
2017-12-31,7671000000
2018-03-31,7860000000
2018-06-30,6298000000
2018-09-30,7498000000
2018-12-31,7618000000
2019-03-31,9308000000
2019-06-30,8616000000
2019-09-30,9307000000
2019-12-31,9083000000
2020-03-31,11001000000
2020-06-30,3877000000
2020-09-30,9829000000
2020-12-31,14040000000
2021-03-31,12242000000
2021-06-30,13247000000
2021-09-30,14090000000
2021-12-31,18104000000
2022-03-31,14076000000
2022-06-30,12196000000
2022-09-30,9692000000
2022-12-31,14511000000
2023-03-31,13998000000
2023-06-30,17309000000
2023-09-30,20402000000
