Time,operatingCashflow
2008-06-30,5042000000
2008-09-30,3952000000
2008-12-31,5973000000
2009-03-31,3147000000
2009-06-30,4514000000
2009-09-30,4101000000
2009-12-31,4825000000
2010-03-31,-6360000000
2010-06-30,4873000000
2010-09-30,6683000000
2010-12-31,6258000000
2011-03-31,4642000000
2011-06-30,5898000000
2011-09-30,4439000000
2011-12-31,5261000000
2012-03-31,2774000000
2012-06-30,4021000000
2012-09-30,5003000000
2012-12-31,4948000000
2013-03-31,2303000000
2013-06-30,3757000000
2013-09-30,5900000000
2013-12-31,5724000000
2014-03-31,2935000000
2014-06-30,4087000000
2014-09-30,4463000000
2014-12-31,5599000000
2015-03-31,680000000
2015-06-30,4090000000
2015-09-30,5020000000
2015-12-31,4898000000
2016-03-31,1808000000
2016-06-30,3606000000
2016-09-30,4737000000
2016-12-31,6041000000
2017-03-31,1584000000
2017-06-30,3240000000
2017-09-30,4889000000
2017-12-31,7089000000
2018-03-31,1983000000
2018-06-30,3847000000
2018-09-30,5259000000
2018-12-31,4738000000
2019-03-31,1698000000
2019-06-30,2611000000
2019-09-30,4510000000
2019-12-31,3769000000
2020-03-31,3133000000
2020-06-30,3555000000
2020-09-30,2090000000
2020-12-31,5625000000
2021-03-31,4538000000
2021-06-30,11299000000
2021-09-30,10829000000
2021-12-31,5914000000
2022-03-31,6541000000
2022-06-30,8170000000
2022-09-30,5974000000
2022-12-31,8582000000
2023-03-31,1212000000
2023-06-30,-1208000000
2023-09-30,3456000000
