Time,operatingCashflow
2013-03-31,1187000000
2013-06-30,1168000000
2013-09-30,1061000000
2013-12-31,3829000000
2014-03-31,624000000
2014-06-30,1201000000
2014-09-30,600000000
2014-12-31,4333000000
2015-03-31,3519000000
2015-06-30,1470000000
2015-09-30,-1546000000
2015-12-31,4925000000
2016-03-31,2128000000
2016-06-30,1918000000
2016-09-30,1454000000
2016-12-31,5326000000
2017-03-31,2102000000
2017-06-30,2003000000
2017-09-30,3271000000
2017-12-31,2584000000
2018-03-31,2645000000
2018-06-30,2866000000
2018-09-30,4524000000
2018-12-31,3392000000
2019-03-31,3017000000
2019-06-30,2477000000
2019-09-30,4555000000
2019-12-31,3275000000
2020-03-31,3815000000
2020-06-30,3089000000
2020-09-30,5830000000
2020-12-31,4854000000
2021-03-31,4877000000
2021-06-30,4890000000
2021-09-30,7935000000
2021-12-31,5075000000
2022-03-31,4908000000
2022-06-30,5005000000
2022-09-30,7602000000
2022-12-31,7428000000
2023-03-31,4193000000
2023-06-30,6319000000
2023-09-30,7574000000
