epoch,stock,avg_loss,model_name,arch,n_qubits,n_qlayers,lr,lookback,batch_size,n_epoch,seed
1,NVDA,0.6327002698724921,QRNN,1.1,4,2,0.030000,10,16,50,2
1,DIS,0.41096263988451526,QRNN,1.1,4,2,0.030000,10,16,50,2
1,KO,0.08362656052816998,QRNN,1.1,4,2,0.030000,10,16,50,2
1,MO,0.18829859827052464,QRNN,1.1,4,2,0.030000,10,16,50,2
1,BABA,0.13028780777346005,QRNN,1.1,4,2,0.030000,10,16,50,2
1,MA,0.08083672787655484,QRNN,1.1,4,2,0.030000,10,16,50,2
1,V,0.08186486312611536,QRNN,1.1,4,2,0.030000,10,16,50,2
1,JPM,0.14083918996832587,QRNN,1.1,4,2,0.030000,10,16,50,2
1,PG,0.07545695458115502,QRNN,1.1,4,2,0.030000,10,16,50,2
1,TSM,0.17642286656932396,QRNN,1.1,4,2,0.030000,10,16,50,2
1,META,0.19887306439605626,QRNN,1.1,4,2,0.030000,10,16,50,2
1,TSLA,0.35146858475425025,QRNN,1.1,4,2,0.030000,10,16,50,2
1,MSFT,0.14033815925094215,QRNN,1.1,4,2,0.030000,10,16,50,2
1,AAPL,0.09786881938238036,QRNN,1.1,4,2,0.030000,10,16,50,2
1,ABBV,0.03006177662279118,QRNN,1.1,4,2,0.030000,10,16,50,2
1,PEP,0.05277762705968185,QRNN,1.1,4,2,0.030000,10,16,50,2
1,CRM,0.27550802379846573,QRNN,1.1,4,2,0.030000,10,16,50,2
1,PFE,0.17556085285138,QRNN,1.1,4,2,0.030000,10,16,50,2
1,NFLX,0.32772174071181903,QRNN,1.1,4,2,0.030000,10,16,50,2
1,AMD,0.24983213706450028,QRNN,1.1,4,2,0.030000,10,16,50,2
1,ABT,0.23192353986880995,QRNN,1.1,4,2,0.030000,10,16,50,2
1,PM,0.07689515264196829,QRNN,1.1,4,2,0.030000,10,16,50,2
1,BA,0.12200086682357571,QRNN,1.1,4,2,0.030000,10,16,50,2
1,NKE,0.13900105316530575,QRNN,1.1,4,2,0.030000,10,16,50,2
1,GS,0.1253125567666509,QRNN,1.1,4,2,0.030000,10,16,50,2
1,T,0.13081996583125807,QRNN,1.1,4,2,0.030000,10,16,50,2
1,C,0.1807273318144408,QRNN,1.1,4,2,0.030000,10,16,50,2
1,MU,0.2884088090874932,QRNN,1.1,4,2,0.030000,10,16,50,2
2,NVDA,0.20788276771252806,QRNN,1.1,4,2,0.029420,10,16,50,2
2,DIS,0.2386563355949792,QRNN,1.1,4,2,0.029420,10,16,50,2
2,KO,0.02770012212832543,QRNN,1.1,4,2,0.029420,10,16,50,2
2,MO,0.1574680060148239,QRNN,1.1,4,2,0.029420,10,16,50,2
2,BABA,0.11879406276751649,QRNN,1.1,4,2,0.029420,10,16,50,2
2,MA,0.07711570532145826,QRNN,1.1,4,2,0.029420,10,16,50,2
2,V,0.07399644575674426,QRNN,1.1,4,2,0.029420,10,16,50,2
2,JPM,0.13502959195863118,QRNN,1.1,4,2,0.029420,10,16,50,2
2,PG,0.07138855357400396,QRNN,1.1,4,2,0.029420,10,16,50,2
2,TSM,0.16739540750330145,QRNN,1.1,4,2,0.029420,10,16,50,2
2,META,0.1985046775503592,QRNN,1.1,4,2,0.029420,10,16,50,2
2,TSLA,0.34908245503902435,QRNN,1.1,4,2,0.029420,10,16,50,2
2,MSFT,0.14153001965446907,QRNN,1.1,4,2,0.029420,10,16,50,2
2,AAPL,0.09599608318372206,QRNN,1.1,4,2,0.029420,10,16,50,2
2,ABBV,0.029997776982120493,QRNN,1.1,4,2,0.029420,10,16,50,2
2,PEP,0.05106579146178609,QRNN,1.1,4,2,0.029420,10,16,50,2
2,CRM,0.26935983313755557,QRNN,1.1,4,2,0.029420,10,16,50,2
2,PFE,0.1715280476280234,QRNN,1.1,4,2,0.029420,10,16,50,2
2,NFLX,0.3248636492274024,QRNN,1.1,4,2,0.029420,10,16,50,2
2,AMD,0.2493740523403341,QRNN,1.1,4,2,0.029420,10,16,50,2
2,ABT,0.23117424344474619,QRNN,1.1,4,2,0.029420,10,16,50,2
2,PM,0.07691855931823904,QRNN,1.1,4,2,0.029420,10,16,50,2
2,BA,0.12028949910944159,QRNN,1.1,4,2,0.029420,10,16,50,2
2,NKE,0.13846523433246397,QRNN,1.1,4,2,0.029420,10,16,50,2
2,GS,0.12482693097130819,QRNN,1.1,4,2,0.029420,10,16,50,2
2,T,0.12931685708463192,QRNN,1.1,4,2,0.029420,10,16,50,2
2,C,0.17642219686372715,QRNN,1.1,4,2,0.029420,10,16,50,2
2,MU,0.28901545026085596,QRNN,1.1,4,2,0.029420,10,16,50,2
3,NVDA,0.20549117570573633,QRNN,1.1,4,2,0.028840,10,16,50,2
3,DIS,0.2357382493262941,QRNN,1.1,4,2,0.028840,10,16,50,2
3,KO,0.027452207974750887,QRNN,1.1,4,2,0.028840,10,16,50,2
3,MO,0.15896698798645625,QRNN,1.1,4,2,0.028840,10,16,50,2
3,BABA,0.11941996927965771,QRNN,1.1,4,2,0.028840,10,16,50,2
3,MA,0.07489143015647476,QRNN,1.1,4,2,0.028840,10,16,50,2
3,V,0.07560767296871002,QRNN,1.1,4,2,0.028840,10,16,50,2
3,JPM,0.134225426919081,QRNN,1.1,4,2,0.028840,10,16,50,2
3,PG,0.07358028036965565,QRNN,1.1,4,2,0.028840,10,16,50,2
3,TSM,0.1685617660934275,QRNN,1.1,4,2,0.028840,10,16,50,2
3,META,0.19681157036261124,QRNN,1.1,4,2,0.028840,10,16,50,2
3,TSLA,0.3493269512599165,QRNN,1.1,4,2,0.028840,10,16,50,2
3,MSFT,0.1401997631923719,QRNN,1.1,4,2,0.028840,10,16,50,2
3,AAPL,0.09647457606413147,QRNN,1.1,4,2,0.028840,10,16,50,2
3,ABBV,0.029850240161811762,QRNN,1.1,4,2,0.028840,10,16,50,2
3,PEP,0.051637075037102804,QRNN,1.1,4,2,0.028840,10,16,50,2
3,CRM,0.26720775867050345,QRNN,1.1,4,2,0.028840,10,16,50,2
3,PFE,0.1704713576896624,QRNN,1.1,4,2,0.028840,10,16,50,2
3,NFLX,0.322458452121778,QRNN,1.1,4,2,0.028840,10,16,50,2
3,AMD,0.2500074350021102,QRNN,1.1,4,2,0.028840,10,16,50,2
3,ABT,0.23171829025853763,QRNN,1.1,4,2,0.028840,10,16,50,2
3,PM,0.0804983013394204,QRNN,1.1,4,2,0.028840,10,16,50,2
3,BA,0.11886125515130433,QRNN,1.1,4,2,0.028840,10,16,50,2
3,NKE,0.1404877918857065,QRNN,1.1,4,2,0.028840,10,16,50,2
3,GS,0.1222437455911528,QRNN,1.1,4,2,0.028840,10,16,50,2
3,T,0.12942085940052162,QRNN,1.1,4,2,0.028840,10,16,50,2
3,C,0.17743368954821068,QRNN,1.1,4,2,0.028840,10,16,50,2
3,MU,0.2894712615419518,QRNN,1.1,4,2,0.028840,10,16,50,2
4,NVDA,0.2107342281802134,QRNN,1.1,4,2,0.028260,10,16,50,2
4,DIS,0.23625350269404324,QRNN,1.1,4,2,0.028260,10,16,50,2
4,KO,0.027662878877229312,QRNN,1.1,4,2,0.028260,10,16,50,2
4,MO,0.15674499422311783,QRNN,1.1,4,2,0.028260,10,16,50,2
4,BABA,0.11737040904435245,QRNN,1.1,4,2,0.028260,10,16,50,2
4,MA,0.0753603868440471,QRNN,1.1,4,2,0.028260,10,16,50,2
4,V,0.07408374484459107,QRNN,1.1,4,2,0.028260,10,16,50,2
4,JPM,0.13320307450538332,QRNN,1.1,4,2,0.028260,10,16,50,2
4,PG,0.07210935398258946,QRNN,1.1,4,2,0.028260,10,16,50,2
4,TSM,0.16664894805713135,QRNN,1.1,4,2,0.028260,10,16,50,2
4,META,0.19362871552055533,QRNN,1.1,4,2,0.028260,10,16,50,2
4,TSLA,0.34925238314000046,QRNN,1.1,4,2,0.028260,10,16,50,2
4,MSFT,0.138988416811282,QRNN,1.1,4,2,0.028260,10,16,50,2
4,AAPL,0.09586586752398447,QRNN,1.1,4,2,0.028260,10,16,50,2
